Frecuencia_Hz,PSD_dBm
136000000.0,-93.63448968769109
136004882.8125,-93.7882047430075
136009765.625,-93.77165322944825
136014648.4375,-93.91860764455217
136019531.25,-93.76329718488154
136024414.0625,-93.6885989904917
136029296.875,-93.79618841514235
136034179.6875,-93.67306169089414
136039062.5,-93.81619332564475
136043945.3125,-93.66380105250227
136048828.125,-93.73933191850881
136053710.9375,-93.66273840610177
136058593.75,-93.80040012361042
136063476.5625,-93.73321858906633
136068359.375,-93.7634119950136
136073242.1875,-93.85011805918836
136078125.0,-93.76786842150676
136083007.8125,-93.75323191319063
136087890.625,-93.81320764423725
136092773.4375,-93.81890047519423
136097656.25,-93.82986930615192
136102539.0625,-93.81457014113244
136107421.875,-93.7276800891758
136112304.6875,-93.79022933588521
136117187.5,-93.83005533183115
136122070.3125,-93.81676204181147
136126953.125,-93.73616624617307
136131835.9375,-93.77704846030656
136136718.75,-93.76355976823999
136141601.5625,-93.75801000689748
136146484.375,-93.78114041223157
136151367.1875,-93.84749228232604
136156250.0,-93.75806856325696
136161132.8125,-93.76350860129321
136166015.625,-93.8152283660483
136170898.4375,-93.85221552857232
136175781.25,-93.87600973465504
136180664.0625,-93.92784262768606
136185546.875,-93.87336427850474
136190429.6875,-93.80486947561604
136195312.5,-93.75246181391617
136200195.3125,-93.95536641779486
136205078.125,-93.8827878850023
136209960.9375,-93.82785032785898
136214843.75,-93.82384497723217
136219726.5625,-93.83015586180369
136224609.375,-93.66542026941607
136229492.1875,-93.79529172648805
136234375.0,-93.75667633840493
136239257.8125,-93.75100762051903
136244140.625,-93.84326681668279
136249023.4375,-93.80832831966583
136253906.25,-93.83614269383659
136258789.0625,-93.75985567142337
136263671.875,-93.7728454954939
136268554.6875,-93.85600604998686
136273437.5,-93.85094114533572
136278320.3125,-93.83911511135432
136283203.125,-93.78268877708399
136288085.9375,-93.8804939833781
136292968.75,-93.75925744710497
136297851.5625,-93.86389685192992
136302734.375,-93.91042272346289
136307617.1875,-93.83776893547144
136312500.0,-93.86999523362888
136317382.8125,-93.89450926025174
136322265.625,-93.8170777526422
136327148.4375,-93.87069002723206
136332031.25,-93.82470969509723
136336914.0625,-93.92124223572239
136341796.875,-93.85750800483464
136346679.6875,-93.74743262469227
136351562.5,-93.81200713632455
136356445.3125,-93.72857931372761
136361328.125,-93.8565414365184
136366210.9375,-93.70361540006232
136371093.75,-93.77615491242526
136375976.5625,-93.76261297086447
136380859.375,-93.90297647087382
136385742.1875,-93.79549852938055
136390625.0,-93.75443559634164
136395507.8125,-93.74110221241602
136400390.625,-93.86021393533281
136405273.4375,-93.78415043537146
136410156.25,-93.74052657548063
136415039.0625,-93.90283589775993
136419921.875,-93.75892968235675
136424804.6875,-93.77037945508368
136429687.5,-93.83888634464563
136434570.3125,-93.80928713168834
136439453.125,-93.67845906794699
136444335.9375,-93.78782273730025
136449218.75,-93.80741030882905
136454101.5625,-93.88047247157417
136458984.375,-93.81371898899573
136463867.1875,-93.82596943265753
136468750.0,-93.82470192241684
136473632.8125,-93.84307418304101
136478515.625,-93.74993362493302
136483398.4375,-93.78210047619768
136488281.25,-93.84982995020667
136493164.0625,-93.77064118223456
136498046.875,-93.89876017167026
136502929.6875,-93.79406221891117
136507812.5,-93.69081057444635
136512695.3125,-93.74457821165942
136517578.125,-93.80381390441599
136522460.9375,-93.83056131194178
136527343.75,-93.88377289993673
136532226.5625,-93.86789459685383
136537109.375,-93.8599058112375
136541992.1875,-93.89463058851916
136546875.0,-93.85817720310757
136551757.8125,-93.7922638160295
136556640.625,-93.82853444039668
136561523.4375,-93.83875861818464
136566406.25,-93.85257853458756
136571289.0625,-93.86464288381572
136576171.875,-93.91089649064662
136581054.6875,-93.82724242923987
136585937.5,-93.86936597776884
136590820.3125,-93.79664169354331
136595703.125,-93.80191205865077
136600585.9375,-93.91006392433235
136605468.75,-93.82115881546824
136610351.5625,-93.83724943270224
136615234.375,-93.81704069452707
136620117.1875,-93.69776290052823
136625000.0,-93.78571681493452
136629882.8125,-93.77471416681843
136634765.625,-93.71586370550332
136639648.4375,-93.81928193687887
136644531.25,-93.88169273638542
136649414.0625,-93.73753576042998
136654296.875,-93.80774873818936
136659179.6875,-93.91200220324637
136664062.5,-93.80631143533816
136668945.3125,-93.8695448898034
136673828.125,-93.75832897992632
136678710.9375,-93.81081916962177
136683593.75,-93.82949821317612
136688476.5625,-93.84800385761767
136693359.375,-93.81104412566947
136698242.1875,-93.801431392665
136703125.0,-93.91478780134332
136708007.8125,-93.81571610875508
136712890.625,-93.88616396356323
136717773.4375,-93.79835457434501
136722656.25,-93.74700379916851
136727539.0625,-93.79541940646993
136732421.875,-93.71775101986489
136737304.6875,-93.8812189634098
136742187.5,-93.87000209356856
136747070.3125,-93.88075651754724
136751953.125,-93.72119750929787
136756835.9375,-93.772646959952
136761718.75,-93.82612102445276
136766601.5625,-93.8343850278697
136771484.375,-93.85108434033373
136776367.1875,-93.70805892020431
136781250.0,-93.82482130430449
136786132.8125,-93.85462896023392
136791015.625,-93.75881118997529
136795898.4375,-93.7566197037714
136800781.25,-93.78421857934524
136805664.0625,-93.68448273842719
136810546.875,-93.99330479646952
136815429.6875,-93.70579504948154
136820312.5,-93.90537499523356
136825195.3125,-93.7230992861069
136830078.125,-93.83726051099416
136834960.9375,-93.7221060270536
136839843.75,-93.87608704357598
136844726.5625,-93.77765246591892
136849609.375,-93.77124213803566
136854492.1875,-93.75624092869302
136859375.0,-93.93651344029996
136864257.8125,-93.81038651998242
136869140.625,-93.8636743040702
136874023.4375,-93.73601757178452
136878906.25,-93.82418143965947
136883789.0625,-93.81392264276823
136888671.875,-93.68378976562948
136893554.6875,-93.79312617486664
136898437.5,-93.75545961718458
136903320.3125,-93.89352597066878
136908203.125,-93.80560159550294
136913085.9375,-93.72861170522475
136917968.75,-93.7841562624152
136922851.5625,-93.84493026914012
136927734.375,-93.70780991164264
136932617.1875,-93.64109730752662
136937500.0,-93.7201685238457
136942382.8125,-93.6751795731341
