# Timestamp: 20251218_072121
# ip: 192.168.46.113
# ruta_salida: Calibración/extraccion/Samples
# frecuencia_central_hz: 86000000
# span_hz: 20000000
# puntos: 4096
# rbw_hz: 47000
Frecuencia_Hz,Amplitud_dBm
76000000.00,-93.629771
76004884.00,-93.730690
76009768.01,-93.454939
76014652.01,-92.546294
76019536.02,-93.149993
76024420.02,-93.700106
76029304.03,-94.285478
76034188.03,-93.885169
76039072.04,-93.832247
76043956.04,-94.465335
76048840.05,-93.713475
76053724.05,-94.185927
76058608.06,-94.308692
76063492.06,-94.001183
76068376.07,-93.903542
76073260.07,-93.802120
76078144.08,-93.743379
76083028.08,-94.198444
76087912.09,-94.202627
76092796.09,-93.077006
76097680.10,-93.750841
76102564.10,-93.356490
76107448.11,-92.811101
76112332.11,-93.902545
76117216.12,-94.117606
76122100.12,-94.016515
76126984.13,-93.235442
76131868.13,-93.029339
76136752.14,-93.678558
76141636.14,-94.419376
76146520.15,-94.649975
76151404.15,-93.834426
76156288.16,-93.747254
76161172.16,-93.031943
76166056.17,-92.774990
76170940.17,-93.271517
76175824.18,-94.833755
76180708.18,-94.212447
76185592.19,-94.422020
76190476.19,-93.784406
76195360.20,-94.746658
76200244.20,-93.476881
76205128.21,-93.880225
76210012.21,-93.835055
76214896.21,-94.583450
76219780.22,-93.746943
76224664.22,-93.294825
76229548.23,-92.915752
76234432.23,-93.814837
76239316.24,-94.622863
76244200.24,-94.349255
76249084.25,-94.141045
76253968.25,-94.106362
76258852.26,-94.509182
76263736.26,-94.679523
76268620.27,-94.298291
76273504.27,-94.400464
76278388.28,-93.631393
76283272.28,-93.021147
76288156.29,-92.473947
76293040.29,-92.825847
76297924.30,-93.566194
76302808.30,-93.459668
76307692.31,-94.261458
76312576.31,-94.162632
76317460.32,-93.461206
76322344.32,-93.099135
76327228.33,-93.959598
76332112.33,-94.360033
76336996.34,-94.350558
76341880.34,-94.722578
76346764.35,-94.940147
76351648.35,-94.056692
76356532.36,-93.734915
76361416.36,-93.228653
76366300.37,-93.876427
76371184.37,-93.926287
76376068.38,-93.128541
76380952.38,-93.341581
76385836.39,-92.970922
76390720.39,-93.632092
76395604.40,-93.885739
76400488.40,-94.177014
76405372.41,-94.573146
76410256.41,-95.261580
76415140.42,-93.149215
76420024.42,-93.407653
76424908.42,-93.770633
76429792.43,-93.130911
76434676.43,-93.437395
76439560.44,-93.211711
76444444.44,-92.778111
76449328.45,-93.064039
76454212.45,-92.811370
76459096.46,-92.749754
76463980.46,-92.899871
76468864.47,-94.314801
76473748.47,-94.292956
76478632.48,-94.129360
76483516.48,-94.241673
76488400.49,-94.512253
76493284.49,-94.782066
76498168.50,-93.628155
76503052.50,-92.629130
76507936.51,-93.260302
76512820.51,-93.786392
76517704.52,-93.742406
76522588.52,-93.809722
76527472.53,-93.309469
76532356.53,-93.923517
76537240.54,-93.511605
76542124.54,-93.753703
76547008.55,-93.855215
76551892.55,-94.030782
76556776.56,-94.258107
76561660.56,-94.034043
76566544.57,-93.618003
76571428.57,-93.531023
76576312.58,-93.840556
76581196.58,-93.945796
76586080.59,-94.109796
76590964.59,-93.288638
76595848.60,-93.175439
76600732.60,-93.295592
76605616.61,-93.261117
76610500.61,-93.314339
76615384.62,-94.074511
76620268.62,-93.828707
76625152.63,-93.666800
76630036.63,-93.766500
76634920.63,-92.877000
76639804.64,-93.347361
76644688.64,-94.372746
76649572.65,-94.007017
76654456.65,-92.753494
76659340.66,-92.044786
76664224.66,-93.227253
76669108.67,-94.676328
76673992.67,-93.591924
76678876.68,-93.010144
76683760.68,-93.680007
76688644.69,-94.093820
76693528.69,-94.695446
76698412.70,-93.507825
76703296.70,-93.689733
76708180.71,-93.743479
76713064.71,-93.343082
76717948.72,-93.940649
76722832.72,-94.433465
76727716.73,-94.508585
76732600.73,-93.716728
76737484.74,-92.693175
76742368.74,-93.465942
76747252.75,-94.320604
76752136.75,-94.544601
76757020.76,-94.150895
76761904.76,-93.766281
76766788.77,-93.812030
76771672.77,-94.615771
76776556.78,-95.181336
76781440.78,-93.913476
76786324.79,-92.862190
76791208.79,-93.257136
76796092.80,-94.452320
76800976.80,-94.175455
76805860.81,-93.360829
76810744.81,-92.921514
76815628.82,-93.253886
76820512.82,-92.821575
76825396.83,-93.731861
76830280.83,-93.705192
76835164.84,-94.595514
76840048.84,-93.035961
76844932.84,-94.141534
76849816.85,-93.505226
76854700.85,-93.183206
76859584.86,-93.327398
76864468.86,-93.836573
76869352.87,-93.622839
76874236.87,-92.762606
76879120.88,-92.808494
76884004.88,-93.900165
76888888.89,-93.023695
76893772.89,-93.826426
76898656.90,-94.587626
76903540.90,-93.732113
76908424.91,-93.434273
76913308.91,-93.624335
76918192.92,-93.476817
76923076.92,-93.267056
76927960.93,-93.477970
76932844.93,-93.727593
76937728.94,-93.203370
76942612.94,-93.761532
76947496.95,-93.655215
76952380.95,-93.844893
76957264.96,-93.518570
76962148.96,-93.714415
76967032.97,-93.671806
76971916.97,-93.381579
76976800.98,-93.670694
76981684.98,-93.978991
76986568.99,-93.907149
76991452.99,-94.280546
76996337.00,-94.259485
77001221.00,-94.427284
77006105.01,-93.416100
77010989.01,-93.770334
77015873.02,-93.770336
77020757.02,-93.521326
77025641.03,-93.870961
77030525.03,-93.591761
77035409.04,-93.644042
77040293.04,-93.112729
77045177.05,-93.097906
77050061.05,-93.576768
77054945.05,-93.999901
77059829.06,-94.159947
77064713.06,-93.308772
77069597.07,-93.437200
77074481.07,-93.893206
77079365.08,-94.082135
77084249.08,-94.613486
77089133.09,-93.777938
77094017.09,-94.036236
77098901.10,-93.820464
