Frequency_Hz,Power_dBm
97715000.00,-66.7390
97719882.81,-66.7728
97724765.62,-66.7274
97729648.44,-66.7563
97734531.25,-66.8031
97739414.06,-66.6854
97744296.88,-66.6639
97749179.69,-66.8008
97754062.50,-66.7369
97758945.31,-66.6038
97763828.12,-66.6571
97768710.94,-66.6770
97773593.75,-66.6926
97778476.56,-66.7918
97783359.38,-66.7815
97788242.19,-66.7726
97793125.00,-66.7855
97798007.81,-66.8301
97802890.62,-66.8071
97807773.44,-66.6881
97812656.25,-66.6388
97817539.06,-66.5433
97822421.88,-66.5992
97827304.69,-66.7152
97832187.50,-66.6873
97837070.31,-66.7257
97841953.12,-66.6903
97846835.94,-66.6985
97851718.75,-66.7797
97856601.56,-66.7521
97861484.38,-66.7314
97866367.19,-66.7212
97871250.00,-66.6960
97876132.81,-66.6749
97881015.62,-66.6663
97885898.44,-66.6697
97890781.25,-66.7661
97895664.06,-66.7063
97900546.88,-66.6664
97905429.69,-66.6587
97910312.50,-66.7052
97915195.31,-66.6897
97920078.12,-66.6739
97924960.94,-66.6176
97929843.75,-66.7879
97934726.56,-66.7280
97939609.38,-66.6563
97944492.19,-66.6888
97949375.00,-66.6105
97954257.81,-66.5775
97959140.62,-66.7132
97964023.44,-66.6760
97968906.25,-66.6147
97973789.06,-66.5500
97978671.88,-66.5017
97983554.69,-66.6476
97988437.50,-66.7611
97993320.31,-66.7815
97998203.12,-66.6739
98003085.94,-66.6665
98007968.75,-66.7496
98012851.56,-66.7515
98017734.38,-66.7665
98022617.19,-66.7318
98027500.00,-66.6747
98032382.81,-66.8283
98037265.62,-66.7672
98042148.44,-66.6876
98047031.25,-66.7648
98051914.06,-66.7185
98056796.88,-66.7344
98061679.69,-66.6838
98066562.50,-66.6804
98071445.31,-66.7118
98076328.12,-66.7171
98081210.94,-66.7109
98086093.75,-66.7225
98090976.56,-66.6334
98095859.38,-66.6612
98100742.19,-66.7568
98105625.00,-66.8279
98110507.81,-66.6837
98115390.62,-66.7751
98120273.44,-66.7297
98125156.25,-66.6547
98130039.06,-66.6739
98134921.88,-66.7376
98139804.69,-66.7152
98144687.50,-66.7137
98149570.31,-66.6890
98154453.12,-66.6765
98159335.94,-66.7339
98164218.75,-66.7229
98169101.56,-66.7500
98173984.38,-66.7226
98178867.19,-66.6605
98183750.00,-66.6345
98188632.81,-66.6581
98193515.62,-66.7718
98198398.44,-66.7836
98203281.25,-66.6953
98208164.06,-66.6683
98213046.88,-66.6100
98217929.69,-66.6516
98222812.50,-66.5979
98227695.31,-66.5566
98232578.12,-66.7123
98237460.94,-66.8271
98242343.75,-66.8090
98247226.56,-66.6745
98252109.38,-66.7446
98256992.19,-66.7143
98261875.00,-66.7887
98266757.81,-66.8123
98271640.62,-66.7004
98276523.44,-66.6077
98281406.25,-66.6485
98286289.06,-66.6828
98291171.88,-66.6244
98296054.69,-66.6219
98300937.50,-66.6594
98305820.31,-66.6258
98310703.12,-66.7297
98315585.94,-66.7688
98320468.75,-66.7245
98325351.56,-66.7811
98330234.38,-66.7917
98335117.19,-66.7098
98340000.00,-66.7098
98344882.81,-66.6828
98349765.62,-66.7812
98354648.44,-66.6548
98359531.25,-66.6572
98364414.06,-66.6760
98369296.88,-66.6201
98374179.69,-66.7154
98379062.50,-66.7032
98383945.31,-66.7642
98388828.12,-66.6957
98393710.94,-66.5719
98398593.75,-66.6612
98403476.56,-66.6802
98408359.38,-66.6855
98413242.19,-66.6417
98418125.00,-66.6782
98423007.81,-66.6796
98427890.62,-66.5859
98432773.44,-66.5439
98437656.25,-66.6628
98442539.06,-66.7052
98447421.88,-66.6786
98452304.69,-66.7142
98457187.50,-66.7724
98462070.31,-66.5860
98466953.12,-66.6104
98471835.94,-66.6709
98476718.75,-66.6812
98481601.56,-66.6628
98486484.38,-66.5327
98491367.19,-66.5467
98496250.00,-66.6946
98501132.81,-66.7759
98506015.62,-66.7631
98510898.44,-66.7719
98515781.25,-66.6705
98520664.06,-66.6533
98525546.88,-66.7524
98530429.69,-66.6471
98535312.50,-66.5478
98540195.31,-66.6598
98545078.12,-66.7636
98549960.94,-66.6755
98554843.75,-66.7323
98559726.56,-66.6994
98564609.38,-66.7351
98569492.19,-66.8045
98574375.00,-66.6455
98579257.81,-66.6722
98584140.62,-66.6960
98589023.44,-66.6914
98593906.25,-66.6577
98598789.06,-66.6346
98603671.88,-66.6296
98608554.69,-66.6099
98613437.50,-66.6396
98618320.31,-66.6915
98623203.12,-66.7462
98628085.94,-66.7434
98632968.75,-66.6280
98637851.56,-66.6245
98642734.38,-66.6089
98647617.19,-66.6099
98652500.00,-66.6874
98657382.81,-66.6465
98662265.62,-66.7761
98667148.44,-66.7753
98672031.25,-66.7617
98676914.06,-66.7240
98681796.88,-66.6545
98686679.69,-66.5654
98691562.50,-66.5869
98696445.31,-66.6847
98701328.12,-66.7034
98706210.94,-66.7206
98711093.75,-66.5632
98715976.56,-66.4481
98720859.38,-66.5701
98725742.19,-66.6902
98730625.00,-66.6512
98735507.81,-66.6813
98740390.62,-66.6680
98745273.44,-66.6811
98750156.25,-66.6178
98755039.06,-66.7885
98759921.88,-66.7981
98764804.69,-66.6423
98769687.50,-66.6002
98774570.31,-66.6654
98779453.12,-66.7086
98784335.94,-66.7018
98789218.75,-66.6376
98794101.56,-66.6560
98798984.38,-66.6652
98803867.19,-66.5640
98808750.00,-66.5230
98813632.81,-66.6101
98818515.62,-66.6552
98823398.44,-66.5370
98828281.25,-66.5715
98833164.06,-66.6369
98838046.88,-66.7301
98842929.69,-66.6779
98847812.50,-66.6791
