Freq_Hz,N9000B_dBm
138003906.63150698,-98.35817832296956
138013673.2102744,-97.68498376423443
138023439.7890419,-98.5879292266705
138033206.36780936,-99.1164784256402
138042972.9465768,-98.98812946437184
138052739.52534428,-97.98839001548316
138062506.10411173,-98.7932649234319
138072272.68287915,-99.25358542286149
138082039.26164666,-97.39869346949195
138091805.8404141,-98.04231383516574
138101572.41918153,-98.59727514267558
138111338.99794903,-99.69671575216663
138121105.57671648,-96.88642748238314
138130872.15548393,-98.53766688000431
138140638.73425138,-98.98757597824061
138150405.31301886,-98.39963123626985
138160171.89178628,-98.66265953442216
138169938.47055373,-98.83900952124314
138179705.04932123,-98.5723561675291
138189471.62808868,-98.69394811342963
138199238.2068561,-98.07247957982463
138209004.7856236,-99.00870571523937
138218771.36439103,-97.99945354925052
138228537.94315848,-98.76652704090773
138238304.521926,-98.93478103449709
138248071.1006934,-98.10494221333695
138257837.67946085,-98.49476079310264
138267604.25822833,-99.61153620970747
138277370.8369958,-99.52357806987135
138287137.41576323,-98.49591101403406
138296903.9945307,-98.67699111229544
138306670.57329816,-98.52995353662467
138316437.1520656,-99.55329004820106
138326203.73083308,-99.12376485324904
138335970.30960053,-99.59650342968901
138345736.88836798,-97.8809250813314
138355503.46713546,-97.71091534537221
138365270.0459029,-98.78457122154012
138375036.62467036,-98.76317962857173
138384803.20343783,-98.14290639537795
138394569.78220528,-99.50454574249905
138404336.36097273,-98.3842693670507
138414102.9397402,-98.28763714807059
138423869.51850766,-98.4074705988016
138433636.0972751,-98.91253479904975
138443402.6760426,-97.11468219830444
138453169.25481004,-98.49091011058576
138462935.83357748,-98.61476354078363
138472702.41234496,-98.85961892183852
138482468.9911124,-98.11385823630992
138492235.56987986,-98.4726706601117
138502002.14864734,-98.39919880408878
138511768.7274148,-98.13185911421795
138521535.3061822,-98.39191398198662
138531301.8849497,-98.32060130383258
138541068.46371716,-98.40240559237947
138550835.0424846,-97.49341567114155
138560601.62125206,-98.58273803701756
138570368.20001954,-99.48528580744448
138580134.77878696,-98.67501710912826
138589901.35755444,-98.85986976524603
138599667.9363219,-99.9589278264161
138609434.51508936,-98.18787753199058
138619201.0938568,-98.26383065413125
138628967.6726243,-97.84090064988426
138638734.2513917,-97.82030905556995
138648500.8301592,-97.34397297527946
138658267.40892667,-97.07285028507809
138668033.98769408,-98.56626468184031
138677800.56646156,-98.0277649209182
138687567.14522904,-98.30548825192855
138697333.7239965,-97.7596799626267
138707100.30276394,-99.64485873104405
138716866.8815314,-98.92731238185262
138726633.46029884,-98.39038189413166
138736400.0390663,-98.05087853956312
138746166.61783376,-98.82009766875487
138755933.1966012,-97.97771495471862
138765699.7753687,-98.00384016812983
138775466.35413614,-98.04354931241201
138785232.9329036,-98.00770409013346
138794999.51167107,-98.8110739783485
138804766.09043851,-99.1316834916382
138814532.66920596,-98.52527500009225
138824299.24797344,-98.27958998261003
138834065.8267409,-96.78047132160881
138843832.40550834,-96.82497034954066
138853598.98427582,-96.9719186860599
138863365.56304327,-98.48207980685314
138873132.14181072,-98.67011184426792
138882898.7205782,-97.81436347946622
138892665.29934564,-98.15758797023656
138902431.8781131,-98.40533487356792
138912198.45688057,-98.22898458886951
138921965.03564802,-97.34095258191721
138931731.61441547,-98.62914303090653
138941498.1931829,-98.61930307836658
138951264.7719504,-98.28532851538779
138961031.35071784,-98.70177462470367
138970797.9294853,-98.96616747551882
138980564.50825277,-99.8023221375429
138990331.08702022,-98.18404576952098
139000097.66578764,-98.04968824751299
139009864.24455515,-98.53656060031739
139019630.8233226,-97.22932859044617
139029397.40209004,-98.65537421363798
139039163.98085752,-97.77289963519031
139048930.55962497,-98.69189142425311
139058697.1383924,-98.42039416579233
139068463.71715987,-99.79396604725564
139078230.29592735,-98.48179812183122
139087996.87469476,-98.28267184056664
139097763.4534622,-99.27870195331133
139107530.03222972,-98.54367346505299
139117296.61099717,-98.02797267104607
139127063.1897646,-99.54053600534724
139136829.7685321,-98.3165021767415
139146596.34729952,-97.83403690593687
139156362.92606696,-98.2214848305224
139166129.50483444,-98.81705851146377
139175896.08360192,-97.62277770145859
139185662.66236934,-98.90550210512649
139195429.24113682,-99.68969890885148
139205195.81990427,-99.05092477917364
139214962.39867172,-98.62832668290852
139224728.9774392,-98.1663463658935
139234495.55620664,-98.64293256911549
139244262.1349741,-97.64249736928934
139254028.71374157,-98.01783203921045
139263795.29250902,-97.72895106008741
139273561.87127647,-97.63610369279904
139283328.45004395,-97.7309910465047
139293095.0288114,-97.90716615284104
139302861.60757884,-98.55845717377898
139312628.18634632,-96.8685403958885
139322394.76511377,-97.54001874371087
139332161.34388122,-98.41868787402758
139341927.9226487,-99.04337551086606
139351694.50141615,-98.19770765700846
139361461.0801836,-97.8761507408677
139371227.65895107,-98.06171156511726
139380994.23771852,-98.88490000180428
139390760.81648597,-98.49215117563973
139400527.39525345,-97.57338984503086
139410293.9740209,-98.16263722726397
139420060.55278835,-97.7773901234554
139429827.13155583,-98.18096129628124
139439593.71032327,-97.88672194812817
139449360.28909072,-98.76383201261378
139459126.8678582,-97.44439591836924
139468893.44662565,-99.1262633555919
139478660.02539307,-98.72060507796843
139488426.60416058,-98.40809728435033
139498193.18292803,-98.96703682953657
139507959.76169544,-96.92419917652536
139517726.34046292,-97.66886487380168
139527492.9192304,-99.46874991001506
139537259.49799785,-98.6476377999038
139547026.0767653,-97.6719426258977
139556792.65553278,-97.085254316472
139566559.2343002,-98.74997114031132
139576325.81306767,-99.10205864843455
139586092.39183515,-98.16072545468955
139595858.9706026,-97.86415525597165
139605625.54937005,-97.77925921124685
139615392.1281375,-98.34098660169501
139625158.70690495,-99.64889449960852
139634925.28567243,-99.41124077632105
139644691.86443987,-97.7274726531713
139654458.44320735,-97.93746089748721
139664225.0219748,-99.61379386403551
139673991.60074225,-98.51874316208094
139683758.1795097,-98.44044989585146
139693524.75827718,-97.42636425367508
139703291.33704463,-96.73835248936577
139713057.91581208,-99.09184729228909
139722824.49457955,-99.91324056342718
139732591.073347,-99.13182279430214
139742357.65211445,-98.61792987511983
139752124.23088193,-98.18499876862042
139761890.80964938,-99.28865441791925
139771657.38841683,-99.73698007945845
