Freq_Hz,N9000B_dBm
8.800000000000000000e+07,-8.838246546000002013e+01
8.801955034213098884e+07,-8.667648573599998940e+01
8.803910068426197767e+07,-8.724575043999998059e+01
8.805865102639296651e+07,-8.732121547900001701e+01
8.807820136852395535e+07,-8.929765246999998851e+01
8.809775171065492928e+07,-8.877579919199999381e+01
8.811730205278591812e+07,-8.777760608200001968e+01
8.813685239491690695e+07,-8.879347580300000686e+01
8.815640273704789579e+07,-8.923485343299998362e+01
8.817595307917888463e+07,-9.088643395800002622e+01
8.819550342130987346e+07,-8.778473940899998240e+01
8.821505376344086230e+07,-8.851198771800001452e+01
8.823460410557185113e+07,-8.754519939900001191e+01
8.825415444770283997e+07,-9.008608592699997075e+01
8.827370478983382881e+07,-9.051307318799997859e+01
8.829325513196480274e+07,-8.632213576500002716e+01
8.831280547409579158e+07,-8.662290880099997992e+01
8.833235581622678041e+07,-8.920932172100000912e+01
8.835190615835776925e+07,-8.922615295699998228e+01
8.837145650048875809e+07,-8.745624281599998540e+01
8.839100684261974692e+07,-8.724204924599999345e+01
8.841055718475073576e+07,-9.164915218099999095e+01
8.843010752688172460e+07,-8.798910741499999233e+01
8.844965786901271343e+07,-8.869948254099998053e+01
8.846920821114370227e+07,-9.033480448099999194e+01
8.848875855327467620e+07,-9.036179402899998081e+01
8.850830889540566504e+07,-9.133276573499999529e+01
8.852785923753665388e+07,-8.976086312699999326e+01
8.854740957966764271e+07,-9.123275280699998291e+01
8.856695992179863155e+07,-8.829640303800002243e+01
8.858651026392962039e+07,-8.840536912400001768e+01
8.860606060606060922e+07,-8.877584944500001995e+01
8.862561094819159806e+07,-8.885323560000001919e+01
8.864516129032258689e+07,-8.793897058800001787e+01
8.866471163245356083e+07,-8.616757091099998433e+01
8.868426197458454967e+07,-8.795644286400002443e+01
8.870381231671553850e+07,-8.750971628299997462e+01
8.872336265884652734e+07,-8.927439986100000624e+01
8.874291300097751617e+07,-8.870604152000002784e+01
8.876246334310850501e+07,-8.708673050800003068e+01
8.878201368523949385e+07,-9.107837587799998857e+01
8.880156402737048268e+07,-8.957094301699997629e+01
8.882111436950147152e+07,-8.963031857999997953e+01
8.884066471163246036e+07,-8.879472594300003152e+01
8.886021505376343429e+07,-8.842177281999997263e+01
8.887976539589442313e+07,-8.842577087800000868e+01
8.889931573802541196e+07,-9.104930212800000788e+01
8.891886608015640080e+07,-8.721419810299997266e+01
8.893841642228738964e+07,-9.105639532499999689e+01
8.895796676441837847e+07,-8.924271755600001654e+01
8.897751710654936731e+07,-8.906128431299997317e+01
8.899706744868035614e+07,-9.025937710100001254e+01
8.901661779081134498e+07,-8.937571671999998557e+01
8.903616813294233382e+07,-8.694598584100000949e+01
8.905571847507330775e+07,-8.830737334999999177e+01
8.907526881720429659e+07,-8.740466049300002283e+01
8.909481915933528543e+07,-8.814817865900000982e+01
8.911436950146627426e+07,-8.720306393000001322e+01
8.913391984359726310e+07,-8.899936324099999752e+01
8.915347018572825193e+07,-8.815036904399998718e+01
8.917302052785924077e+07,-8.717833218300002329e+01
8.919257086999022961e+07,-8.941705083799999443e+01
8.921212121212121844e+07,-9.073025690999999426e+01
8.923167155425219238e+07,-8.667086249300001555e+01
8.925122189638318121e+07,-8.805497531500002140e+01
8.927077223851417005e+07,-8.830563200199998164e+01
8.929032258064515889e+07,-8.823661411700001622e+01
8.930987292277614772e+07,-8.802514712699998256e+01
8.932942326490713656e+07,-9.022900716799999543e+01
8.934897360703812540e+07,-8.806343930000001308e+01
8.936852394916911423e+07,-8.909512432500000045e+01
8.938807429130010307e+07,-8.947811878000001684e+01
8.940762463343109190e+07,-9.017179988999998841e+01
8.942717497556206584e+07,-8.888947073899996099e+01
8.944672531769305468e+07,-8.766756145900002650e+01
8.946627565982404351e+07,-8.820409284600002309e+01
8.948582600195503235e+07,-8.956599231999999233e+01
8.950537634408602118e+07,-8.886242911600001548e+01
8.952492668621701002e+07,-8.944126014500002952e+01
8.954447702834799886e+07,-8.879299931299999571e+01
8.956402737047898769e+07,-8.558751552199998969e+01
8.958357771260997653e+07,-8.917095722600001295e+01
8.960312805474096537e+07,-8.777749942499997360e+01
8.962267839687193930e+07,-8.875066027100001520e+01
8.964222873900292814e+07,-8.703093194599999549e+01
8.966177908113391697e+07,-8.827655304199997488e+01
8.968132942326490581e+07,-8.900767509300001734e+01
8.970087976539589465e+07,-8.780592861900001367e+01
8.972043010752688348e+07,-8.864685457299999882e+01
8.973998044965787232e+07,-8.866808245400001454e+01
8.975953079178886116e+07,-8.881546020300000066e+01
8.977908113391984999e+07,-9.052692246500001261e+01
8.979863147605082393e+07,-8.750893960300000174e+01
8.981818181818181276e+07,-8.726459735400001705e+01
8.983773216031280160e+07,-8.821484340899999665e+01
8.985728250244379044e+07,-8.764262566699999013e+01
8.987683284457477927e+07,-8.771971440300001177e+01
8.989638318670576811e+07,-8.846821439200002146e+01
8.991593352883675694e+07,-8.882241777600000887e+01
8.993548387096774578e+07,-9.071389527300001987e+01
8.995503421309873462e+07,-8.717452514900003280e+01
8.997458455522972345e+07,-8.722257773599997677e+01
8.999413489736069739e+07,-8.836942440400002852e+01
9.001368523949168622e+07,-8.835000218899998004e+01
9.003323558162267506e+07,-8.664050826899998015e+01
9.005278592375366390e+07,-8.686429863100001114e+01
9.007233626588465273e+07,-8.874203355099999158e+01
9.009188660801564157e+07,-8.938124598999999648e+01
9.011143695014663041e+07,-8.755285799299998928e+01
9.013098729227761924e+07,-8.804742423900000858e+01
9.015053763440860808e+07,-8.719139004600000931e+01
9.017008797653958201e+07,-8.957620222599997817e+01
9.018963831867057085e+07,-8.825005511999998475e+01
9.020918866080155969e+07,-8.822015776499998196e+01
