Freq_Hz,N9000B_dBm
180003906.63150698,-91.59835395144738
180013673.2102744,-93.48587430449243
180023439.7890419,-94.68885587104829
180033206.36780936,-94.73373046059622
180042972.9465768,-95.9791795802552
180052739.52534428,-94.95475882294465
180062506.10411173,-94.99790975068102
180072272.68287915,-96.47700066855778
180082039.26164666,-96.00034389666692
180091805.8404141,-94.79191676449264
180101572.41918153,-95.30583253899417
180111338.99794903,-93.55761304904101
180121105.57671648,-95.08367307187476
180130872.15548393,-95.43112966907506
180140638.73425138,-95.03618020061128
180150405.31301886,-95.96597179599178
180160171.89178628,-94.72177471288316
180169938.47055376,-95.1466930110486
180179705.04932123,-95.41722417444846
180189471.62808865,-95.81232605012497
180199238.2068561,-96.8604878730487
180209004.78562358,-95.3733712565765
180218771.36439103,-95.11488333146528
180228537.94315848,-95.27744693431688
180238304.521926,-95.6055733085272
180248071.10069343,-95.39028982525174
180257837.67946088,-95.32797235106166
180267604.25822836,-94.9350691102434
180277370.8369958,-94.01275244423182
180287137.41576323,-95.6824729711549
180296903.99453068,-95.74063010878041
180306670.57329816,-94.52836995535051
180316437.1520656,-94.11752833658255
180326203.73083308,-94.57985454074151
180335970.30960053,-95.69667746490771
180345736.888368,-96.1470726055952
180355503.46713546,-96.34821425432536
180365270.0459029,-94.8781360756364
180375036.62467036,-95.94052974524163
180384803.20343783,-95.34764255024365
180394569.78220528,-95.39325345379966
180404336.36097273,-94.57000659523788
180414102.9397402,-95.43511730090671
180423869.51850766,-94.39658679080298
180433636.09727508,-95.50259168861305
180443402.6760426,-95.89803446724258
180453169.25481004,-95.14482357480757
180462935.83357748,-94.98734611504963
180472702.41234496,-96.19536991032489
180482468.9911124,-94.24941410843205
180492235.56987986,-95.0463175357998
180502002.14864734,-94.88950145514487
180511768.7274148,-95.65634462741264
180521535.3061822,-96.86149305239024
180531301.8849497,-97.15619444584291
180541068.46371716,-96.49318762588354
180550835.0424846,-94.27847279672115
180560601.62125206,-95.78262421290289
180570368.20001954,-94.93468871507211
180580134.778787,-95.28913319488062
180589901.35755444,-95.02560265502218
180599667.9363219,-95.2019506933429
180609434.51508936,-94.88464097170598
180619201.0938568,-96.04702710677601
180628967.6726243,-95.89237054040554
180638734.25139174,-96.43364498197462
180648500.8301592,-94.94269577975066
180658267.40892664,-94.74556749135452
180668033.9876941,-95.01948611356772
180677800.56646153,-95.28901555932892
180687567.14522904,-95.40633570546008
180697333.7239965,-95.17178374314328
180707100.3027639,-94.51844958956515
180716866.8815314,-96.12315090328113
180726633.46029884,-95.80934390809713
180736400.0390663,-95.99267769114039
180746166.61783376,-95.62457024164775
180755933.19660124,-95.45960075238452
180765699.7753687,-95.13448841094439
180775466.35413614,-95.94466688561675
180785232.9329036,-95.17181358391866
180794999.51167107,-94.93963731926071
180804766.09043851,-95.09520246612958
180814532.66920596,-95.54264307733732
180824299.24797344,-93.82750498636001
180834065.82674092,-95.01077107305741
180843832.40550834,-94.94619203626955
180853598.98427582,-95.00125749925695
180863365.56304327,-96.07610346134713
180873132.14181072,-94.47161845846686
180882898.7205782,-94.45492971298233
180892665.29934564,-96.69775274015043
180902431.87811306,-96.01363772604262
180912198.45688057,-95.39578700685922
180921965.03564802,-96.32675512938094
180931731.61441547,-95.92495422141985
180941498.1931829,-95.80308028418469
180951264.7719504,-95.11605816609102
180961031.35071784,-95.47483815062125
180970797.9294853,-95.3505862070542
180980564.50825277,-95.86233525968801
180990331.0870202,-96.02879924974164
181000097.66578764,-95.1158027846826
181009864.24455512,-94.62847737124987
181019630.8233226,-96.82367052735408
181029397.40209,-96.7966847361405
181039163.98085752,-96.05552045912633
181048930.55962494,-96.12925238441626
181058697.1383924,-95.68884212875022
181068463.71715987,-95.2496444206582
181078230.29592735,-95.1184733063664
181087996.87469476,-95.25494168998954
181097763.4534622,-96.12234418951095
181107530.03222972,-97.02996524124251
181117296.61099714,-96.46952149251163
181127063.1897646,-96.36885876490226
181136829.7685321,-95.64483178547285
181146596.34729952,-95.54581095778116
181156362.926067,-95.30528379118608
181166129.50483444,-96.66499075961639
181175896.0836019,-96.01271834385095
181185662.6623694,-95.50486110172288
181195429.2411368,-95.54079995989566
181205195.81990427,-95.7560805421774
181214962.39867172,-95.94366746195303
181224728.9774392,-96.49322000074531
181234495.55620667,-96.26596988893262
181244262.13497412,-95.58026817078778
181254028.71374154,-94.44406539050335
181263795.29250902,-96.16885862365822
181273561.87127647,-95.03477092566322
181283328.45004392,-94.81242336460234
181293095.0288114,-95.63373733132184
181302861.6075789,-95.2078981118336
181312628.1863463,-96.51694440473543
181322394.76511377,-95.48778561497456
181332161.34388128,-95.26473069091568
181341927.9226487,-95.51728114135246
181351694.50141615,-94.77061418429442
181361461.0801836,-94.81695031625858
181371227.65895107,-95.60323112643765
181380994.23771852,-95.68488599750813
181390760.81648597,-96.42434457818725
181400527.39525342,-95.92619229463747
181410293.9740209,-96.26350476019095
181420060.55278832,-95.83322324277846
181429827.13155583,-96.51733623517615
181439593.71032327,-96.76079246856601
181449360.2890907,-95.60439614151902
181459126.8678582,-96.22443477930302
181468893.44662565,-96.02215756067028
181478660.02539307,-95.27044695955625
181488426.60416058,-95.55092038598386
181498193.18292803,-95.85002688272134
181507959.76169547,-95.61488984786862
181517726.34046292,-95.25437055021591
181527492.9192304,-95.49556739929008
181537259.49799785,-96.77460636648065
181547026.0767653,-96.01735250303068
181556792.65553278,-96.28834825908113
181566559.23430023,-95.3175795957302
181576325.81306767,-95.91150466384902
181586092.39183515,-95.07969349429973
181595858.9706026,-92.54369177037027
181605625.54937005,-94.177781558471
181615392.1281375,-93.78471072602593
181625158.70690498,-94.43505177538941
181634925.28567243,-95.2425384332747
181644691.86443987,-95.17490333470137
181654458.44320735,-95.74042949190591
181664225.02197477,-94.90914991093597
181673991.60074225,-94.75752493162912
181683758.1795097,-95.25306595491824
181693524.75827715,-95.67819940349794
181703291.33704463,-95.78417403372382
181713057.91581208,-96.20042848178805
181722824.49457955,-96.3738569291158
181732591.073347,-95.12257115460238
181742357.65211445,-96.01682747323623
181752124.2308819,-96.64865645624218
181761890.80964938,-97.05030457908491
181771657.38841683,-94.84385801483361
181781423.96718425,-96.43964283555303
181791190.54595175,-95.76239136928633
181800957.1247192,-96.07977366153233
181810723.70348668,-94.73138404593882
181820490.28225413,-95.23825571757754
181830256.86102158,-96.07193678768158
181840023.43978906,-96.48372215548015
181849790.0185565,-96.24526455351429
181859556.59732395,-95.89111242465958
181869323.17609137,-94.88228797732121
181879089.75485888,-95.02725304003376
181888856.3336263,-95.38091534420644
181898622.91239375,-94.94479710969686
181908389.49116126,-94.9175545054217
181918156.06992868,-95.09226915268164
181927922.64869612,-95.28688985211713
181937689.22746363,-92.43386644167563
181947455.80623108,-90.06832354900553
181957222.38499853,-81.77412481920976
181966988.96376595,-76.1339575884587
181976755.54253346,-66.18115286507818
181986522.12130088,-55.920568961650304
181996288.70006835,-51.24911745921581
182006055.27883583,-51.660621464756524
182015821.85760328,-57.2289557069331
182025588.43637073,-68.23119866871194
182035355.01513818,-77.1840911361327
182045121.59390563,-83.1699087543705
182054888.17267308,-92.48160560140825
182064654.75144058,-94.39434350670228
182074421.330208,-93.71841351133064
182084187.90897548,-95.31983085150038
182093954.48774293,-96.26591184068631
182103721.06651038,-95.89060334462783
182113487.64527783,-96.41104196698163
182123254.2240453,-95.38075060649562
182133020.80281276,-95.54933149206278
182142787.3815802,-96.19122365446842
182152553.9603477,-97.71628055343206
182162320.53911513,-95.26969833837174
182172087.11788258,-96.52355727202121
182181853.69665006,-97.46634405425381
182191620.2754175,-96.68479054670061
182201386.854185,-94.75289524689666
182211153.43295243,-97.0575378750412
182220920.01171988,-97.10839684099955
182230686.59048736,-95.81508975245825
182240453.16925478,-95.66512537817638
182250219.74802226,-95.69207960531759
182259986.3267897,-95.36049808833567
182269752.9055572,-97.06580960795404
182279519.48432463,-96.21396300508434
182289286.06309208,-96.12294913033246
182299052.64185953,-96.13388577344631
182308819.220627,-96.0255650251196
182318585.7993945,-96.02285851543778
182328352.3781619,-95.97061423124845
182338118.9569294,-96.27864631610481
182347885.53569683,-96.07215386870145
182357652.1144643,-94.44435748750203
