Freq_Hz,N9000B_dBm
180003906.63150698,-92.45412104392847
180013673.2102744,-93.87416544301999
180023439.7890419,-95.56411485642931
180033206.36780936,-95.52055220254259
180042972.9465768,-94.83655837432734
180052739.52534428,-94.97850449863462
180062506.10411173,-95.41523069904648
180072272.68287915,-95.45927769383215
180082039.26164666,-95.42593040546116
180091805.8404141,-94.67077807052232
180101572.41918153,-94.046319467161
180111338.99794903,-94.88032004782099
180121105.57671648,-94.22113222789716
180130872.15548393,-95.67331559878612
180140638.73425138,-94.90052672773234
180150405.31301886,-95.2732079665087
180160171.89178628,-96.69981279142725
180169938.47055376,-93.80537795991395
180179705.04932123,-95.67230936763544
180189471.62808865,-94.79195743816548
180199238.2068561,-95.46017365590158
180209004.78562358,-94.75281330231473
180218771.36439103,-95.05332283746974
180228537.94315848,-95.98304016855903
180238304.521926,-95.1301775908612
180248071.10069343,-96.004870007313
180257837.67946088,-97.53732423099476
180267604.25822836,-95.74787026442263
180277370.8369958,-94.63153715519468
180287137.41576323,-94.479277096288
180296903.99453068,-94.54594755989794
180306670.57329816,-94.45536330253184
180316437.1520656,-95.44979644854065
180326203.73083308,-93.95998353400876
180335970.30960053,-94.54587655058874
180345736.888368,-93.95734739237179
180355503.46713546,-94.34803750288182
180365270.0459029,-94.97112016885944
180375036.62467036,-95.22752027723237
180384803.20343783,-95.79733187264965
180394569.78220528,-93.84126838181075
180404336.36097273,-94.06486540079415
180414102.9397402,-95.59663203177051
180423869.51850766,-94.65969193114502
180433636.09727508,-94.93069088668172
180443402.6760426,-95.16522729072251
180453169.25481004,-94.49225484463847
180462935.83357748,-94.91092935308977
180472702.41234496,-95.22744957287105
180482468.9911124,-95.13523021059397
180492235.56987986,-95.58705972450741
180502002.14864734,-95.71777598577425
180511768.7274148,-95.13268223294895
180521535.3061822,-94.94092237810897
180531301.8849497,-95.24029054074896
180541068.46371716,-95.63538216883953
180550835.0424846,-94.16853240869118
180560601.62125206,-94.97617506725118
180570368.20001954,-95.51010031912149
180580134.778787,-95.98602911838975
180589901.35755444,-95.53113449700754
180599667.9363219,-95.05350459297922
180609434.51508936,-95.1571555206855
180619201.0938568,-94.77757857488093
180628967.6726243,-95.25829776667754
180638734.25139174,-95.2500649261456
180648500.8301592,-94.94288423660144
180658267.40892664,-95.11792534520407
180668033.9876941,-95.03830072135058
180677800.56646153,-95.9509468296204
180687567.14522904,-95.41662781134696
180697333.7239965,-95.37499585788184
180707100.3027639,-95.19702082918332
180716866.8815314,-96.45349627206866
180726633.46029884,-94.1299027816217
180736400.0390663,-94.59391037863647
180746166.61783376,-94.77430559308813
180755933.19660124,-95.49535419981494
180765699.7753687,-94.87943221711986
180775466.35413614,-95.83360149523371
180785232.9329036,-95.81992785368571
180794999.51167107,-95.22873868775173
180804766.09043851,-94.67803790761826
180814532.66920596,-96.13222226131214
180824299.24797344,-95.30895266127375
180834065.82674092,-95.18353425484271
180843832.40550834,-95.4731962032692
180853598.98427582,-95.2961592386035
180863365.56304327,-95.25369722360199
180873132.14181072,-94.72391321863722
180882898.7205782,-95.26667349319708
180892665.29934564,-94.35782936890455
180902431.87811306,-96.10980710953069
180912198.45688057,-95.40949409349467
180921965.03564802,-95.3465686698925
180931731.61441547,-95.3998341820116
180941498.1931829,-94.78203906058206
180951264.7719504,-94.84977703502443
180961031.35071784,-96.12036856349498
180970797.9294853,-95.46445684820776
180980564.50825277,-95.83457930773939
180990331.0870202,-94.77992814487679
181000097.66578764,-95.87478732685739
181009864.24455512,-95.2078126819811
181019630.8233226,-96.31212494258251
181029397.40209,-94.33053321526204
181039163.98085752,-95.98897430020692
181048930.55962494,-95.65016151357149
181058697.1383924,-94.94087702359462
181068463.71715987,-95.5207251789557
181078230.29592735,-95.3590854869541
181087996.87469476,-93.90956213870567
181097763.4534622,-95.61071486184998
181107530.03222972,-95.14475237716731
181117296.61099714,-93.61876957164716
181127063.1897646,-94.54797828156025
181136829.7685321,-94.60132555633051
181146596.34729952,-94.40746775342375
181156362.926067,-95.93607426924115
181166129.50483444,-95.56792355946098
181175896.0836019,-95.4921742180633
181185662.6623694,-93.81890790437012
181195429.2411368,-95.90340890816628
181205195.81990427,-95.16269548183692
181214962.39867172,-95.15991988328288
181224728.9774392,-96.2436610980918
181234495.55620667,-94.37671556854708
181244262.13497412,-94.86785147369713
181254028.71374154,-95.0967591085188
181263795.29250902,-95.18024456281847
181273561.87127647,-95.98564903643627
181283328.45004392,-94.75942934842563
181293095.0288114,-95.81919550768112
181302861.6075789,-95.52462152622073
181312628.1863463,-94.73699798237479
181322394.76511377,-94.44694473881385
181332161.34388128,-94.33347190489913
181341927.9226487,-95.31210690535333
181351694.50141615,-95.60894643532413
181361461.0801836,-94.98916309849803
181371227.65895107,-95.25721098624098
181380994.23771852,-95.20042807889811
181390760.81648597,-95.03904838172625
181400527.39525342,-94.68401185902741
181410293.9740209,-95.70005303528161
181420060.55278832,-96.32598134572305
181429827.13155583,-95.82210985183396
181439593.71032327,-96.23740937689837
181449360.2890907,-94.07951888773626
181459126.8678582,-95.96692575434128
181468893.44662565,-93.40073583839013
181478660.02539307,-94.79048766802605
181488426.60416058,-95.65478287984624
181498193.18292803,-95.56949014875698
181507959.76169547,-95.28306662432074
181517726.34046292,-94.45448135103828
181527492.9192304,-94.88684810899491
181537259.49799785,-95.94049093686465
181547026.0767653,-95.32622577400986
181556792.65553278,-95.06381733970761
181566559.23430023,-96.43293154092336
181576325.81306767,-93.95461112413477
181586092.39183515,-93.10243937551562
181595858.9706026,-91.53267536798177
181605625.54937005,-92.11700641452965
181615392.1281375,-93.78500212529377
181625158.70690498,-93.93632482994829
181634925.28567243,-95.44981292699283
181644691.86443987,-95.4859941429296
181654458.44320735,-95.25188967448166
181664225.02197477,-96.04498526534616
181673991.60074225,-95.74338024540636
181683758.1795097,-95.25163708505026
181693524.75827715,-95.96610792127102
181703291.33704463,-95.72989412845814
181713057.91581208,-95.66655902434476
181722824.49457955,-95.64175558252315
181732591.073347,-93.60758208048686
181742357.65211445,-95.52714106907297
181752124.2308819,-96.24547502275493
181761890.80964938,-95.66419242666066
181771657.38841683,-95.48585809971961
181781423.96718425,-95.96447812891584
181791190.54595175,-94.35359826629094
181800957.1247192,-95.62603817309919
181810723.70348668,-96.05959851451902
181820490.28225413,-95.91400595023381
181830256.86102158,-95.32842150232466
181840023.43978906,-95.53432422319658
181849790.0185565,-94.24009463653323
181859556.59732395,-95.50952176987468
181869323.17609137,-94.11417820941814
181879089.75485888,-95.34906919264769
181888856.3336263,-95.97014548906516
181898622.91239375,-94.73400469216668
181908389.49116126,-95.65900585923725
181918156.06992868,-94.74943739669155
181927922.64869612,-95.03137681164056
181937689.22746363,-91.91748816090833
181947455.80623108,-88.7028709897368
181957222.38499853,-80.24640948537069
181966988.96376595,-75.11966996603681
181976755.54253346,-64.73604777861203
181986522.12130088,-54.55463332526047
181996288.70006835,-49.86896990672502
182006055.27883583,-50.27157270712642
182015821.85760328,-55.813153657368744
182025588.43637073,-67.02779705263508
182035355.01513818,-75.49914593126232
182045121.59390563,-81.72856507931549
182054888.17267308,-90.31035497738152
182064654.75144058,-92.83752602538246
182074421.330208,-94.17625915741326
182084187.90897548,-94.57331521285678
182093954.48774293,-96.21010693290691
182103721.06651038,-95.29222321737669
182113487.64527783,-95.3649335705346
182123254.2240453,-94.5038452331975
182133020.80281276,-96.39119117390234
182142787.3815802,-95.51825996098266
182152553.9603477,-96.86777633063068
182162320.53911513,-95.88161772514981
182172087.11788258,-95.18845758628152
182181853.69665006,-95.68737562569511
182191620.2754175,-95.42329597251637
182201386.854185,-95.5741911417315
182211153.43295243,-95.31646900237058
182220920.01171988,-95.02520091041009
182230686.59048736,-97.09201466783463
182240453.16925478,-96.44010553232869
182250219.74802226,-96.34945944495607
182259986.3267897,-96.1549947347157
182269752.9055572,-96.82376032140212
182279519.48432463,-96.86325963684745
182289286.06309208,-96.41822687518518
182299052.64185953,-95.49047884135744
182308819.220627,-95.53466117349043
182318585.7993945,-96.35994673310165
182328352.3781619,-95.59089969217439
182338118.9569294,-96.17793919310502
182347885.53569683,-94.88992883190464
182357652.1144643,-95.27875345483453
182367418.69323176,-95.0294057881124
182377185.27199918,-96.41000157428167
182386951.8507667,-95.96139554013209
182396718.4295341,-95.53274096256075
182406485.00830156,-95.33467529226891
182416251.58706903,-96.4264312330011
182426018.1658365,-95.89092259893053
182435784.74460396,-96.43359166564619
182445551.3233714,-95.5637498211536
182455317.9021389,-95.8331357165087
182465084.48090634,-96.53515547337214
182474851.0596738,-95.47268912793899
182484617.63844126,-96.42279378103979
182494384.21720868,-96.43580538848092
182504150.7959762,-96.65732414174275
182513917.37474364,-95.73008027795265
182523683.95351106,-95.5502953935299
182533450.53227854,-96.09723533471757
182543217.11104602,-96.71724871992154
182552983.68981346,-96.31195928342922
182562750.2685809,-96.71415452376968
182572516.84734836,-95.12512630517749
182582283.42611584,-96.11445997648823
182592050.0048833,-96.64362355788525
182601816.58365074,-96.20350600479077
182611583.1624182,-96.06316311166837
182621349.74118567,-94.77836253529776
182631116.3199531,-95.97598840048575
182640882.8987206,-95.17865366671045
182650649.47748807,-96.27444841334467
182660416.0562555,-96.49177076220907
182670182.63502294,-96.04570103962978
182679949.2137904,-96.0653686443251
182689715.79255787,-96.12540769249703
182699482.3713253,-95.11686665429269
182709248.9500928,-96.51092475693767
182719015.52886024,-97.06364158316694
182728782.1076277,-95.76329409120491
182738548.68639514,-95.24381114362282
182748315.26516262,-96.11425300161503
182758081.84393007,-95.19312463996775
182767848.4226975,-95.979928243329
182777615.001465,-95.75651496227428
182787381.58023244,-96.01356437442547
182797148.15899986,-96.35276175751727
182806914.73776737,-96.91058686249825
182816681.31653482,-96.94767939643341
182826447.89530224,-96.09211492728016
182836214.47406974,-95.89277686758115
182845981.0528372,-97.04521658329854
182855747.63160464,-96.98706047263435
182865514.21037212,-96.45745443512274
182875280.78913957,-97.1801701975805
182885047.367907,-96.2048816822205
182894813.9466745,-94.9208146446108
182904580.52544194,-95.56656725015726
182914347.10420936,-95.24112252903238
182924113.68297687,-95.64735799881775
182933880.26174432,-95.60675068452092
182943646.84051177,-96.10764492540014
182953413.4192792,-96.27674479374869
182963179.99804667,-96.05595891019166
182972946.57681412,-96.25470193659046
182982713.15558156,-96.39349699165307
182992479.73434907,-97.26516283717059
183002246.3131165,-96.26260617472292
183012012.89188394,-96.94020599903052
183021779.47065142,-97.33850300351739
183031546.04941887,-97.56049576496201
183041312.62818632,-95.43035843277906
183051079.2069538,-97.14002548222425
183060845.78572124,-95.87425970257445
183070612.3644887,-96.15774503846364
183080378.94325617,-96.27149262375565
183090145.52202362,-96.64194912820011
183099912.10079107,-96.63020947499851
183109678.67955855,-97.14193699519173
183119445.258326,-96.11595271520214
183129211.83709344,-96.60632036157168
183138978.41586092,-97.4284718823752
183148744.99462837,-96.51927037714094
183158511.57339582,-96.68019924475533
183168278.1521633,-96.82005434577299
183178044.73093075,-97.50335514907279
183187811.30969825,-95.5577244709646
183197577.8884657,-96.93879047132805
183207344.46723312,-96.0357936069534
183217111.0460006,-96.21420829407278
183226877.62476805,-96.70909798111255
183236644.20353547,-96.76125451219093
183246410.78230295,-95.4874184385855
183256177.36107042,-96.288057842385
183265943.93983787,-96.4782878319423
183275710.51860532,-95.65790362041784
183285477.09737277,-96.55073027652867
183295243.67614025,-97.70459905358766
183305010.2549077,-96.24798777228429
183314776.83367515,-97.28341235236581
183324543.41244262,-97.6047180968675
183334309.99121004,-96.94211118895566
183344076.56997755,-96.35073390930918
183353843.148745,-96.60471744669337
183363609.72751242,-95.38604110011408
183373376.3062799,-96.90781639321044
183383142.88504738,-95.75535300855391
183392909.4638148,-96.5160196857998
183402676.04258227,-96.46883656403544
183412442.62134975,-95.26102212349781
183422209.2001172,-95.70087451561653
183431975.77888462,-94.97069630938995
183441742.3576521,-96.18488727676073
183451508.93641958,-96.55135784322219
183461275.51518703,-96.40635050113298
183471042.0939545,-96.67020358895843
183480808.67272195,-97.37266994038173
183490575.2514894,-96.17478489424082
183500341.83025688,-95.94578536356036
183510108.4090243,-97.12688925424446
183519874.98779178,-96.55095029272225
183529641.56655923,-97.66352038347097
183539408.1453267,-97.96626341556673
183549174.72409415,-95.22379061062951
183558941.3028616,-95.72235557262553
183568707.88162905,-96.49257399095245
183578474.46039647,-97.23653558824644
183588241.03916398,-96.85962918641486
183598007.61793143,-95.96158307797792
183607774.1966989,-96.67727974439366
183617540.77546635,-97.57873358787859
183627307.3542338,-96.15730245519374
183637073.93300128,-96.07790545386788
183646840.51176873,-95.10212338358066
183656607.09053618,-96.59892874883896
183666373.66930366,-97.38688975543839
183676140.24807107,-96.44268104275054
183685906.82683855,-96.26807936739048
183695673.40560603,-96.69824325486394
183705439.98437348,-95.56612614519685
183715206.5631409,-96.42021267355051
183724973.14190835,-96.0927229450013
183734739.72067586,-97.18534544633
183744506.2994433,-97.31391022054717
183754272.87821075,-95.71129390451043
183764039.45697823,-96.04865215465998
183773806.03574568,-95.87844955982314
183783572.6145131,-95.98978993252794
183793339.19328058,-97.13196847662633
183803105.77204806,-96.90875946251283
183812872.35081547,-97.27850481430293
183822638.92958298,-97.70402086103869
183832405.50835043,-96.5891267272847
183842172.08711785,-95.86940216999221
183851938.6658853,-96.9910884626991
183861705.24465278,-97.13157514673745
183871471.82342023,-96.1394531757935
183881238.40218768,-95.52472436889666
183891004.98095518,-93.57287943794992
183900771.55972263,-93.60251552601655
183910538.13849008,-94.81199610426685
183920304.71725756,-96.20960914238553
183930071.29602498,-96.31918395860397
183939837.87479243,-96.53719055665081
183949604.45355988,-97.75240801275379
183959371.03232735,-95.38277624819167
183969137.6110948,-96.75516997627267
183978904.18986228,-95.91275263556412
183988670.76862973,-90.32647877357593
183998437.34739718,-87.38755567488516
184008203.92616466,-88.49351474464527
184017970.5049321,-93.28337059237013
184027737.08369955,-97.36069761211343
184037503.66246703,-97.77010782799474
184047270.24123448,-96.76862799194649
184057036.82000193,-97.61681224157456
184066803.3987694,-97.1921262307894
184076569.97753686,-97.76468740762022
184086336.5563043,-97.60949665710609
184096103.13507178,-94.96003031349849
184105869.71383923,-97.6274608342616
184115636.29260668,-97.66474989452276
184125402.87137416,-96.22157918773681
184135169.4501416,-96.09558999725795
184144936.02890906,-97.29027395196991
184154702.60767654,-97.07160837560208
184164469.18644398,-97.17724426768228
184174235.76521143,-97.84484039955045
184184002.3439789,-97.95465846922306
184193768.92274636,-96.90779695413926
184203535.50151378,-97.87259794150395
184213302.08028132,-97.35509806085781
184223068.65904874,-97.13573804602737
184232835.23781618,-96.7547560868253
184242601.81658366,-96.4873719085868
