Freq_Hz,N9000B_dBm
8.800000000000000000e+07,-8.723297381500000824e+01
8.801955034213098884e+07,-8.664732100299997342e+01
8.803910068426197767e+07,-8.850227711400000885e+01
8.805865102639296651e+07,-8.877705605399998490e+01
8.807820136852395535e+07,-8.734170395599998926e+01
8.809775171065492928e+07,-8.718957477300001813e+01
8.811730205278591812e+07,-9.025768888300001436e+01
8.813685239491690695e+07,-8.775829201500000920e+01
8.815640273704789579e+07,-8.793487555800001587e+01
8.817595307917888463e+07,-8.752637971000001471e+01
8.819550342130987346e+07,-8.821948847200000898e+01
8.821505376344086230e+07,-8.963127674500000808e+01
8.823460410557185113e+07,-8.836421255499996619e+01
8.825415444770283997e+07,-8.976874205799998663e+01
8.827370478983382881e+07,-8.966610041900001704e+01
8.829325513196480274e+07,-8.733310645699998531e+01
8.831280547409579158e+07,-8.779724516899997866e+01
8.833235581622678041e+07,-9.015542585399998643e+01
8.835190615835776925e+07,-8.979862194800000452e+01
8.837145650048875809e+07,-9.002867692800002430e+01
8.839100684261974692e+07,-8.821609834999996735e+01
8.841055718475073576e+07,-8.742042939699997817e+01
8.843010752688172460e+07,-8.798698091399998589e+01
8.844965786901271343e+07,-9.130642664100000161e+01
8.846920821114370227e+07,-8.686539649600001667e+01
8.848875855327467620e+07,-9.129442102299996975e+01
8.850830889540566504e+07,-8.902366365600002496e+01
8.852785923753665388e+07,-9.019624795900001857e+01
8.854740957966764271e+07,-8.798642930800001238e+01
8.856695992179863155e+07,-8.856123566100001199e+01
8.858651026392962039e+07,-8.934846218699998133e+01
8.860606060606060922e+07,-8.932140837800002942e+01
8.862561094819159806e+07,-8.775003019900000822e+01
8.864516129032258689e+07,-8.802167971100001864e+01
8.866471163245356083e+07,-8.868022374000000241e+01
8.868426197458454967e+07,-8.915722430900000006e+01
8.870381231671553850e+07,-8.956251399100001720e+01
8.872336265884652734e+07,-9.050524734500001500e+01
8.874291300097751617e+07,-8.796563569900001767e+01
8.876246334310850501e+07,-8.802246568299997875e+01
8.878201368523949385e+07,-8.656889199600001916e+01
8.880156402737048268e+07,-9.051476749200000427e+01
8.882111436950147152e+07,-8.599897929600001589e+01
8.884066471163246036e+07,-8.917829625099997770e+01
8.886021505376343429e+07,-8.975326846899999111e+01
8.887976539589442313e+07,-8.994744145899997534e+01
8.889931573802541196e+07,-8.946364354099999616e+01
8.891886608015640080e+07,-8.787447043699998517e+01
8.893841642228738964e+07,-8.986958065900002168e+01
8.895796676441837847e+07,-9.131291742999998462e+01
8.897751710654936731e+07,-8.887134386099998551e+01
8.899706744868035614e+07,-8.791139536099997542e+01
8.901661779081134498e+07,-8.798372113700001762e+01
8.903616813294233382e+07,-9.063652768799997261e+01
8.905571847507330775e+07,-8.859322332000002120e+01
8.907526881720429659e+07,-8.971694083900001715e+01
8.909481915933528543e+07,-8.989476573599998233e+01
8.911436950146627426e+07,-8.757135016200001587e+01
8.913391984359726310e+07,-8.733051348299999006e+01
8.915347018572825193e+07,-8.773013848200002940e+01
8.917302052785924077e+07,-8.857294811599997786e+01
8.919257086999022961e+07,-9.008566122099998097e+01
8.921212121212121844e+07,-9.116229040800001826e+01
8.923167155425219238e+07,-8.921463553000002378e+01
8.925122189638318121e+07,-8.922762977600000056e+01
8.927077223851417005e+07,-9.000368621799998436e+01
8.929032258064515889e+07,-8.784583531000001244e+01
8.930987292277614772e+07,-8.897288531400000977e+01
8.932942326490713656e+07,-9.179204765000000066e+01
8.934897360703812540e+07,-9.000748552400000335e+01
8.936852394916911423e+07,-9.045164607200000262e+01
8.938807429130010307e+07,-8.833674972299998274e+01
8.940762463343109190e+07,-8.905017683100001591e+01
8.942717497556206584e+07,-8.917009668000000033e+01
8.944672531769305468e+07,-8.950953550799998482e+01
8.946627565982404351e+07,-8.751070748299997604e+01
8.948582600195503235e+07,-8.905268812899998920e+01
8.950537634408602118e+07,-8.954655992999998659e+01
8.952492668621701002e+07,-8.911716475700002604e+01
8.954447702834799886e+07,-8.936301233400000399e+01
8.956402737047898769e+07,-9.116471138299998245e+01
8.958357771260997653e+07,-8.708123806700002945e+01
8.960312805474096537e+07,-8.823140802500002167e+01
8.962267839687193930e+07,-8.982921356500000343e+01
8.964222873900292814e+07,-8.950811441300001547e+01
8.966177908113391697e+07,-8.689252172199999791e+01
8.968132942326490581e+07,-8.982731760499999041e+01
8.970087976539589465e+07,-8.831627389099998027e+01
8.972043010752688348e+07,-8.698742327200001512e+01
8.973998044965787232e+07,-9.043503493899997636e+01
8.975953079178886116e+07,-8.881494033699996749e+01
8.977908113391984999e+07,-8.884406115199998055e+01
8.979863147605082393e+07,-8.790961135099999524e+01
8.981818181818181276e+07,-8.705548163899997860e+01
8.983773216031280160e+07,-8.809379143500001419e+01
8.985728250244379044e+07,-8.859018182200001945e+01
8.987683284457477927e+07,-8.668245772199996679e+01
8.989638318670576811e+07,-8.742938765100001319e+01
8.991593352883675694e+07,-8.782652484599996967e+01
8.993548387096774578e+07,-8.830859755300002689e+01
8.995503421309873462e+07,-9.071920079999999587e+01
8.997458455522972345e+07,-8.942171659299999931e+01
8.999413489736069739e+07,-8.723322987499997794e+01
9.001368523949168622e+07,-9.047082323700003315e+01
9.003323558162267506e+07,-8.894516199499999232e+01
9.005278592375366390e+07,-8.847847094099998344e+01
9.007233626588465273e+07,-8.843519245000000240e+01
9.009188660801564157e+07,-8.813582847600002879e+01
9.011143695014663041e+07,-9.136115285299997879e+01
9.013098729227761924e+07,-8.910554484900002592e+01
9.015053763440860808e+07,-8.796093346900002530e+01
9.017008797653958201e+07,-8.640678409799998860e+01
9.018963831867057085e+07,-8.944826565500001436e+01
9.020918866080155969e+07,-8.767963776800002051e+01
9.022873900293254852e+07,-8.818686221599999442e+01
9.024828934506353736e+07,-8.755959932800001866e+01
9.026783968719452620e+07,-8.761350472800000944e+01
9.028739002932551503e+07,-8.977275942899998995e+01
9.030694037145650387e+07,-8.735898855099998173e+01
9.032649071358749270e+07,-8.732107382699999221e+01
9.034604105571848154e+07,-8.941200631200003102e+01
9.036559139784945548e+07,-8.981499498199998754e+01
9.038514173998044431e+07,-8.969944064499999570e+01
9.040469208211143315e+07,-8.891847455000001332e+01
9.042424242424242198e+07,-8.974240900699999202e+01
9.044379276637341082e+07,-8.922601776799999129e+01
9.046334310850439966e+07,-8.702623487899998622e+01
9.048289345063538849e+07,-8.784260261600000774e+01
9.050244379276637733e+07,-8.917128023099998302e+01
9.052199413489736617e+07,-8.965696932599998092e+01
9.054154447702835500e+07,-8.953266289500001562e+01
9.056109481915932894e+07,-9.044219971399998315e+01
9.058064516129031777e+07,-8.834032659200002513e+01
9.060019550342130661e+07,-9.003006352399998491e+01
9.061974584555229545e+07,-8.790720923300000322e+01
9.063929618768328428e+07,-8.748010959900001637e+01
9.065884652981427312e+07,-8.975559457199999258e+01
9.067839687194526196e+07,-8.765949770199998170e+01
9.069794721407625079e+07,-8.836328727299999741e+01
9.071749755620723963e+07,-9.182816710199999477e+01
9.073704789833822846e+07,-8.873797736299998462e+01
9.075659824046920240e+07,-8.809620108399998628e+01
9.077614858260019124e+07,-8.888235659000000055e+01
9.079569892473118007e+07,-8.919064496000001441e+01
9.081524926686216891e+07,-9.023414252799999247e+01
9.083479960899315774e+07,-8.868218216699997924e+01
9.085434995112414658e+07,-8.946684442899999112e+01
9.087390029325513542e+07,-8.798566175399999167e+01
9.089345063538612425e+07,-8.662382692999999279e+01
9.091300097751711309e+07,-8.916325671899998895e+01
9.093255131964808702e+07,-8.795760888500001329e+01
9.095210166177907586e+07,-8.988655972799998040e+01
9.097165200391006470e+07,-8.775652342399999384e+01
9.099120234604105353e+07,-8.830443661599997540e+01
9.101075268817204237e+07,-8.692351380099998437e+01
9.103030303030303121e+07,-8.912055976400002066e+01
9.104985337243402004e+07,-8.722325511100000028e+01
9.106940371456500888e+07,-9.156629998099998602e+01
9.108895405669599771e+07,-8.742445244900002876e+01
9.110850439882698655e+07,-8.750340497699998821e+01
9.112805474095796049e+07,-9.128926220799999669e+01
9.114760508308894932e+07,-8.862771166299998526e+01
9.116715542521993816e+07,-8.860609173100002067e+01
9.118670576735092700e+07,-8.983068757500001311e+01
9.120625610948191583e+07,-8.850881220400002292e+01
9.122580645161290467e+07,-8.889788057699998092e+01
9.124535679374389350e+07,-8.903449283899998079e+01
9.126490713587488234e+07,-8.937768010700001753e+01
9.128445747800587118e+07,-8.706950959700000681e+01
9.130400782013684511e+07,-8.680839380599998378e+01
9.132355816226783395e+07,-8.854666672999998411e+01
9.134310850439882278e+07,-9.009507272799997679e+01
9.136265884652981162e+07,-8.911701865800002054e+01
9.138220918866080046e+07,-8.919811059000001308e+01
9.140175953079178929e+07,-9.092475959499998339e+01
9.142130987292277813e+07,-9.043849772700001211e+01
9.144086021505376697e+07,-8.733012134700001639e+01
9.146041055718475580e+07,-8.850205021700001851e+01
9.147996089931574464e+07,-8.721882010400000240e+01
9.149951124144671857e+07,-8.726233469000000298e+01
9.151906158357770741e+07,-8.912370010400002229e+01
9.153861192570869625e+07,-8.772593817799997851e+01
9.155816226783968508e+07,-8.862999708800002452e+01
9.157771260997067392e+07,-8.932872886800001311e+01
9.159726295210166276e+07,-8.881130202600000700e+01
9.161681329423265159e+07,-8.956033998399998097e+01
9.163636363636364043e+07,-8.871806525299999180e+01
9.165591397849462926e+07,-8.774864061499998513e+01
9.167546432062561810e+07,-9.109906771800001479e+01
9.169501466275659204e+07,-8.797721480199997757e+01
9.171456500488758087e+07,-8.639017336999998520e+01
9.173411534701856971e+07,-8.746693932000002292e+01
9.175366568914955854e+07,-8.905713700200000460e+01
9.177321603128054738e+07,-8.959227522500000873e+01
9.179276637341153622e+07,-8.806302563399998462e+01
9.181231671554252505e+07,-9.134395175299999892e+01
9.183186705767351389e+07,-9.023140254900002333e+01
9.185141739980450273e+07,-8.796550378899998179e+01
9.187096774193549156e+07,-8.982454596100001254e+01
9.189051808406646550e+07,-8.975816532300002848e+01
9.191006842619745433e+07,-8.797474065400001564e+01
9.192961876832844317e+07,-8.804423852000002171e+01
9.194916911045943201e+07,-8.701062541599999633e+01
9.196871945259042084e+07,-8.864546528099999989e+01
9.198826979472140968e+07,-8.876758395599999574e+01
9.200782013685239851e+07,-8.815813127799998483e+01
9.202737047898338735e+07,-8.723170956899998885e+01
9.204692082111437619e+07,-8.801182216399999447e+01
9.206647116324535012e+07,-8.791933599900001184e+01
9.208602150537633896e+07,-8.876077389100002790e+01
9.210557184750732780e+07,-9.015125551899998868e+01
9.212512218963831663e+07,-8.872484456099998340e+01
9.214467253176930547e+07,-8.962751095299999804e+01
9.216422287390029430e+07,-8.788592245899999966e+01
9.218377321603128314e+07,-9.042685558500001264e+01
9.220332355816227198e+07,-8.835892842299998051e+01
9.222287390029326081e+07,-8.926774750799998515e+01
9.224242424242424965e+07,-8.989677247200000920e+01
9.226197458455522358e+07,-9.072018683400001748e+01
9.228152492668621242e+07,-8.785648326300001543e+01
9.230107526881720126e+07,-8.982117537399997786e+01
9.232062561094819009e+07,-8.883969662899997388e+01
9.234017595307917893e+07,-8.840994488100000126e+01
9.235972629521016777e+07,-8.972272100000000705e+01
9.237927663734115660e+07,-8.779872394800000279e+01
9.239882697947214544e+07,-8.920775784200002079e+01
9.241837732160313427e+07,-8.838618304600001352e+01
9.243792766373410821e+07,-8.798938712300000020e+01
9.245747800586509705e+07,-8.710175417299998912e+01
9.247702834799608588e+07,-8.885244442499997319e+01
9.249657869012707472e+07,-8.758006761099997561e+01
9.251612903225806355e+07,-8.759964191699999958e+01
9.253567937438905239e+07,-8.873384609999997963e+01
9.255522971652004123e+07,-8.817830718199999751e+01
9.257478005865103006e+07,-8.613314920899998128e+01
9.259433040078201890e+07,-8.936347028500001954e+01
9.261388074291300774e+07,-8.962710729399998399e+01
9.263343108504398167e+07,-8.773252364700002204e+01
9.265298142717497051e+07,-8.838685989299999335e+01
9.267253176930595934e+07,-9.066380839400001435e+01
9.269208211143694818e+07,-8.988936839299998383e+01
9.271163245356793702e+07,-8.956990363800002797e+01
9.273118279569892585e+07,-8.812410274300000879e+01
9.275073313782991469e+07,-8.924035755399998493e+01
9.277028347996090353e+07,-8.804360758000002818e+01
9.278983382209189236e+07,-8.858430140799998753e+01
9.280938416422288120e+07,-9.047695051200001615e+01
9.282893450635385513e+07,-8.762314854199998138e+01
9.284848484848484397e+07,-8.950899422599999866e+01
9.286803519061583281e+07,-8.935716744599997696e+01
9.288758553274682164e+07,-8.741785457199998177e+01
9.290713587487781048e+07,-8.775683070800000962e+01
9.292668621700879931e+07,-8.751511099399999694e+01
9.294623655913978815e+07,-8.769334664599998064e+01
9.296578690127077699e+07,-8.841177991200000008e+01
9.298533724340176582e+07,-8.821859497199997691e+01
9.300488758553275466e+07,-8.986351950399998145e+01
9.302443792766372859e+07,-8.789211770000000001e+01
9.304398826979471743e+07,-8.892567814200000953e+01
9.306353861192570627e+07,-8.926817413400002010e+01
9.308308895405669510e+07,-9.033400050600002373e+01
9.310263929618768394e+07,-8.819105769200000111e+01
9.312218963831867278e+07,-8.882767844200000695e+01
9.314173998044966161e+07,-8.832416146799999979e+01
9.316129032258065045e+07,-8.690033355399998527e+01
9.318084066471163929e+07,-8.873792559400000357e+01
9.320039100684261322e+07,-9.029316585000000828e+01
9.321994134897360206e+07,-9.085372981399999048e+01
9.323949169110459089e+07,-8.845302969999997345e+01
9.325904203323557973e+07,-8.885966164600002060e+01
9.327859237536656857e+07,-8.777179901399998130e+01
9.329814271749755740e+07,-8.742647534999998982e+01
9.331769305962854624e+07,-8.992022417399998346e+01
9.333724340175953507e+07,-8.627320124999998541e+01
9.335679374389052391e+07,-8.851957166600000448e+01
9.337634408602151275e+07,-8.746842167599999129e+01
9.339589442815248668e+07,-9.128194144199997595e+01
9.341544477028347552e+07,-8.899412902999999631e+01
9.343499511241446435e+07,-8.889740073000002951e+01
9.345454545454545319e+07,-8.786003077799998096e+01
9.347409579667644203e+07,-8.956045955400000480e+01
9.349364613880743086e+07,-8.826807560599999647e+01
9.351319648093841970e+07,-8.800598484399998256e+01
9.353274682306940854e+07,-9.025287375599998541e+01
9.355229716520039737e+07,-8.850224256399999945e+01
9.357184750733137131e+07,-8.762351736599998731e+01
