Frequency_Hz,Power_dBm
138000000.00,-66.6288
138009765.62,-66.6727
138019531.25,-66.7009
138029296.88,-66.7429
138039062.50,-66.7919
138048828.12,-66.7660
138058593.75,-66.7690
138068359.38,-66.7077
138078125.00,-66.7395
138087890.62,-66.7067
138097656.25,-66.6653
138107421.88,-66.6650
138117187.50,-66.7056
138126953.12,-66.6714
138136718.75,-66.7115
138146484.38,-66.6757
138156250.00,-66.5814
138166015.62,-66.6422
138175781.25,-66.5988
138185546.88,-66.6829
138195312.50,-66.8083
138205078.12,-66.7678
138214843.75,-66.7374
138224609.38,-66.7932
138234375.00,-66.6866
138244140.62,-66.6366
138253906.25,-66.7341
138263671.88,-66.7591
138273437.50,-66.7618
138283203.12,-66.7153
138292968.75,-66.6840
138302734.38,-66.6623
138312500.00,-66.7331
138322265.62,-66.7622
138332031.25,-66.7663
138341796.88,-66.7240
138351562.50,-66.6793
138361328.12,-66.6971
138371093.75,-66.7083
138380859.38,-66.6704
138390625.00,-66.7195
138400390.62,-66.6934
138410156.25,-66.6372
138419921.88,-66.6867
138429687.50,-66.7231
138439453.12,-66.7342
138449218.75,-66.7470
138458984.38,-66.7046
138468750.00,-66.6736
138478515.62,-66.6721
138488281.25,-66.6804
138498046.88,-66.6527
138507812.50,-66.6992
138517578.12,-66.6655
138527343.75,-66.7210
138537109.38,-66.7215
138546875.00,-66.7034
138556640.62,-66.6701
138566406.25,-66.6458
138576171.88,-66.6338
138585937.50,-66.5799
138595703.12,-66.6503
138605468.75,-66.7167
138615234.38,-66.7416
138625000.00,-66.7254
138634765.62,-66.6812
138644531.25,-66.6735
138654296.88,-66.6984
138664062.50,-66.7245
138673828.12,-66.7259
138683593.75,-66.6801
138693359.38,-66.6986
138703125.00,-66.6891
138712890.62,-66.5963
138722656.25,-66.6110
138732421.88,-66.6654
138742187.50,-66.5857
138751953.12,-66.6500
138761718.75,-66.6750
138771484.38,-66.7135
138781250.00,-66.7078
138791015.62,-66.7806
138800781.25,-66.7299
138810546.88,-66.6657
138820312.50,-66.6529
138830078.12,-66.6024
138839843.75,-66.6892
138849609.38,-66.6951
138859375.00,-66.6398
138869140.62,-66.6655
138878906.25,-66.6303
138888671.88,-66.6620
138898437.50,-66.6870
138908203.12,-66.6754
138917968.75,-66.6111
138927734.38,-66.5868
138937500.00,-66.6647
138947265.62,-66.7162
138957031.25,-66.7160
138966796.88,-66.6893
138976562.50,-66.7098
138986328.12,-66.7110
138996093.75,-66.5492
139005859.38,-66.5964
139015625.00,-66.6360
139025390.62,-66.6090
