# Origen Binario: fm_full_dataset.bin
# Frecuencia Central: 80000000 Hz
# Ancho de Banda: 20000000 Hz
# Ganancias: LNA=24 | VGA=10

Frequency_Hz,Power_dBm
70000000.00,-64.6298
70004882.81,-64.8184
70009765.62,-65.0307
70014648.44,-65.0912
70019531.25,-65.1038
70024414.06,-65.0716
70029296.88,-65.1697
70034179.69,-65.0474
70039062.50,-64.8853
70043945.31,-65.0453
70048828.12,-65.1323
70053710.94,-65.0934
70058593.75,-65.0482
70063476.56,-64.9938
70068359.38,-65.0707
70073242.19,-65.0483
70078125.00,-65.0285
70083007.81,-65.0566
70087890.62,-64.9892
70092773.44,-64.8984
70097656.25,-64.9003
70102539.06,-64.9494
70107421.88,-64.9111
70112304.69,-64.9371
70117187.50,-65.0408
70122070.31,-65.1229
70126953.12,-65.1065
70131835.94,-65.1664
70136718.75,-65.1436
70141601.56,-65.1356
70146484.38,-65.0801
70151367.19,-65.1162
70156250.00,-65.0982
70161132.81,-65.0329
70166015.62,-65.0115
70170898.44,-65.0930
70175781.25,-64.9262
70180664.06,-64.8881
70185546.88,-64.9119
70190429.69,-65.0641
70195312.50,-65.1527
70200195.31,-65.0327
70205078.12,-64.9771
70209960.94,-64.9378
70214843.75,-65.0175
70219726.56,-64.9904
70224609.38,-64.9106
70229492.19,-64.8940
70234375.00,-64.9632
70239257.81,-64.9393
70244140.62,-64.8606
70249023.44,-64.8209
70253906.25,-64.7504
70258789.06,-64.6486
70263671.88,-64.4674
70268554.69,-64.2816
70273437.50,-64.1029
70278320.31,-63.8810
70283203.12,-63.7787
70288085.94,-63.7557
70292968.75,-63.6779
70297851.56,-63.6763
70302734.38,-63.7300
70307617.19,-63.9630
70312500.00,-64.1822
70317382.81,-64.3849
70322265.62,-64.5326
70327148.44,-64.6003
70332031.25,-64.8353
70336914.06,-64.9833
70341796.88,-64.9630
70346679.69,-64.9975
70351562.50,-65.0212
70356445.31,-65.0435
70361328.12,-65.0151
70366210.94,-65.0285
70371093.75,-64.9698
70375976.56,-64.8720
70380859.38,-64.9155
70385742.19,-65.0420
70390625.00,-65.0203
70395507.81,-64.9847
70400390.62,-65.0429
70405273.44,-64.9645
70410156.25,-64.9086
70415039.06,-64.8001
70419921.88,-64.7557
70424804.69,-64.9434
70429687.50,-65.0707
70434570.31,-65.0812
70439453.12,-65.0044
70444335.94,-65.0086
70449218.75,-64.9123
70454101.56,-64.9911
70458984.38,-65.0724
70463867.19,-65.0037
70468750.00,-64.8217
70473632.81,-64.8633
70478515.62,-64.9995
70483398.44,-65.0511
70488281.25,-65.0483
70493164.06,-65.0093
70498046.88,-64.9742
70502929.69,-65.0319
70507812.50,-65.0662
70512695.31,-64.8641
70517578.12,-64.7080
70522460.94,-64.8126
70527343.75,-64.7444
70532226.56,-64.8526
70537109.38,-64.8733
70541992.19,-64.9103
70546875.00,-64.9993
70551757.81,-64.8854
70556640.62,-64.9080
70561523.44,-64.9374
70566406.25,-64.8632
70571289.06,-64.9332
70576171.88,-64.9804
70581054.69,-65.0205
70585937.50,-64.9437
70590820.31,-64.9416
70595703.12,-64.9841
70600585.94,-64.9599
70605468.75,-64.9619
70610351.56,-64.8726
70615234.38,-64.9203
70620117.19,-64.9313
70625000.00,-64.9860
