Frecuencia (Hz),PSD
-10000000.000000,-79.104349537199440
-9995117.187500,-79.108260757713225
-9990234.375000,-79.105670454827106
-9985351.562500,-79.140890290961778
-9980468.750000,-79.103033252596802
-9975585.937500,-79.087162959043894
-9970703.125000,-79.093118287169744
-9965820.312500,-79.055415582891840
-9960937.500000,-79.040563830645411
-9956054.687500,-79.063667561950254
-9951171.875000,-79.029864328911387
-9946289.062500,-79.110714200493845
-9941406.250000,-79.009343422800114
-9936523.437500,-79.016732507778002
-9931640.625000,-79.107818726378966
-9926757.812500,-79.104021051639705
-9921875.000000,-79.059524808582680
-9916992.187500,-78.988703594807703
-9912109.375000,-78.905890182976350
-9907226.562500,-78.616081226467642
-9902343.750000,-78.305426294818957
-9897460.937500,-77.997116042260245
-9892578.125000,-77.718535190911496
-9887695.312500,-77.400710075466279
-9882812.500000,-77.298428965475310
-9877929.687500,-77.326351967127394
-9873046.875000,-77.645935864418917
-9868164.062500,-78.030562010462091
-9863281.250000,-78.395978874893757
-9858398.437500,-78.737561339030336
-9853515.625000,-78.893566537289260
-9848632.812500,-78.979220151866258
-9843750.000000,-79.060952999268736
-9838867.187500,-79.058886748773688
-9833984.375000,-79.058434410234582
-9829101.562500,-79.122675673347644
-9824218.750000,-79.108587885866243
-9819335.937500,-79.078611581072806
-9814453.125000,-79.078558001244758
-9809570.312500,-79.098621811659186
-9804687.500000,-78.962998111802392
-9799804.687500,-78.908126776274770
-9794921.875000,-78.984417154907590
-9790039.062500,-79.145736756017229
-9785156.250000,-79.158641407950483
-9780273.437500,-79.104903401166226
-9775390.625000,-79.079660080923489
-9770507.812500,-79.092574604625668
-9765625.000000,-79.130500930140514
-9760742.187500,-79.139338942653083
-9755859.375000,-79.094318353883907
-9750976.562500,-79.027044608028348
-9746093.750000,-79.107012002418287
-9741210.937500,-79.092360939029163
-9736328.125000,-79.053918906262140
-9731445.312500,-79.059103588200287
-9726562.500000,-79.075078999673650
-9721679.687500,-79.027797174411930
-9716796.875000,-79.001486013124179
-9711914.062500,-79.101964321763006
-9707031.250000,-79.138692686139251
-9702148.437500,-79.044404017105251
-9697265.625000,-78.993216978885016
-9692382.812500,-79.019940321604935
-9687500.000000,-79.047808167044764
-9682617.187500,-79.116570308295138
