Frecuencia (Hz),PSD
-10000000.000000,-79.035461283866994
-9995117.187500,-78.973537385975646
-9990234.375000,-78.908174053914848
-9985351.562500,-79.037144894083028
-9980468.750000,-78.984217739778984
-9975585.937500,-78.910015544961311
-9970703.125000,-78.943476139120122
-9965820.312500,-79.002815502476864
-9960937.500000,-79.007069058558017
-9956054.687500,-78.984489426365428
-9951171.875000,-79.018616216406841
-9946289.062500,-79.027420909144610
-9941406.250000,-79.019001550924003
-9936523.437500,-78.948271224776960
-9931640.625000,-78.988979507300854
-9926757.812500,-78.922368007374487
-9921875.000000,-78.769048318347274
-9916992.187500,-78.608695815610403
-9912109.375000,-78.312523707648836
-9907226.562500,-78.070806146917860
-9902343.750000,-77.817063808353964
-9897460.937500,-77.627922445388961
-9892578.125000,-77.490314401017244
-9887695.312500,-77.669200649073900
-9882812.500000,-77.957481235999083
-9877929.687500,-78.301906605367606
-9873046.875000,-78.679651008902255
-9868164.062500,-78.932027729062185
-9863281.250000,-79.010643212832164
-9858398.437500,-78.998702715654105
-9853515.625000,-79.005640757029624
-9848632.812500,-79.040236637124522
-9843750.000000,-78.994025596200203
-9838867.187500,-78.987726617772992
-9833984.375000,-78.944401496381587
-9829101.562500,-79.007167494179654
-9824218.750000,-79.033049450385661
-9819335.937500,-78.967466546069687
-9814453.125000,-78.945287467395474
-9809570.312500,-79.005627972046938
-9804687.500000,-78.966160957542769
-9799804.687500,-78.893479932819005
-9794921.875000,-78.837040519771975
-9790039.062500,-78.920458260083578
-9785156.250000,-78.933456105272512
-9780273.437500,-78.974428204554926
-9775390.625000,-78.985005493959875
-9770507.812500,-79.060153021776742
-9765625.000000,-79.017719996873382
-9760742.187500,-78.971728019950632
-9755859.375000,-79.022310415772864
-9750976.562500,-78.995549148232143
-9746093.750000,-78.919204730665626
-9741210.937500,-78.968556415704668
-9736328.125000,-79.033620570430941
-9731445.312500,-79.079476000603577
-9726562.500000,-78.978460046239761
-9721679.687500,-78.960865785420282
-9716796.875000,-78.963718900024588
-9711914.062500,-78.916853883475042
-9707031.250000,-78.922606796969518
-9702148.437500,-78.945858467277290
-9697265.625000,-78.984865984111224
-9692382.812500,-78.979893761463472
-9687500.000000,-78.998081945415649
-9682617.187500,-79.002227106632091
-9677734.375000,-79.013836759518867
-9672851.562500,-79.051896387698889
-9667968.750000,-79.053523059140886
-9663085.937500,-79.004490535546537
-9658203.125000,-79.059664945109859
-9653320.312500,-79.039659326126994
-9648437.500000,-78.990148394292291
-9643554.687500,-78.979161161529248
-9638671.875000,-78.976552618228311
-9633789.062500,-79.036451461997373
-9628906.250000,-79.087245530070817
-9624023.437500,-79.059521517693256
-9619140.625000,-79.015129176138345
-9614257.812500,-78.993604621395249
-9609375.000000,-79.012019534222418
-9604492.187500,-79.016992237993861
-9599609.375000,-78.978325185405339
-9594726.562500,-78.946464863349760
-9589843.750000,-79.011351839994660
-9584960.937500,-79.036706731087946
-9580078.125000,-79.025808565176149
-9575195.312500,-79.039766844330359
-9570312.500000,-79.015729961537801
-9565429.687500,-79.013687164488317
-9560546.875000,-79.043781249842112
-9555664.062500,-79.010312908495692
-9550781.250000,-79.002927626034221
-9545898.437500,-79.056713761214553
-9541015.625000,-79.091983417647754
-9536132.812500,-79.019042584235677
-9531250.000000,-79.016371382267167
-9526367.187500,-79.076980732027266
-9521484.375000,-79.103827034719473
-9516601.562500,-79.062419985633909
-9511718.750000,-79.023542590547095
-9506835.937500,-78.995717462530820
-9501953.125000,-78.931294976570655
-9497070.312500,-78.818038397088628
-9492187.500000,-79.004055682407099
-9487304.687500,-78.992987145698265
-9482421.875000,-78.794901147169838
-9477539.062500,-78.697979183216574
-9472656.250000,-78.674703072533049
-9467773.437500,-78.756068398602238
-9462890.625000,-78.854806937602646
-9458007.812500,-78.933560975260662
-9453125.000000,-78.997338425775055
-9448242.187500,-79.011850147799152
-9443359.375000,-79.010951909119484
-9438476.562500,-79.035020834258788
-9433593.750000,-79.044531296097560
-9428710.937500,-79.094715807177977
-9423828.125000,-78.999835252209650
-9418945.312500,-79.011761557166594
-9414062.500000,-78.984135331166982
-9409179.687500,-78.995063144898950
-9404296.875000,-78.919488983575633
-9399414.062500,-78.952605702908357
-9394531.250000,-79.000407048344130
-9389648.437500,-78.958620430519574
-9384765.625000,-78.976893775588692
-9379882.812500,-78.973481719723893
-9375000.000000,-78.905191872471448
-9370117.187500,-78.983283611990004
-9365234.375000,-79.051962959578702
-9360351.562500,-79.031767864771808
-9355468.750000,-79.071540713569490
-9350585.937500,-79.051218308336516
-9345703.125000,-79.041352842290735
-9340820.312500,-79.001745342861028
-9335937.500000,-79.040281477606911
-9331054.687500,-79.125519973194145
-9326171.875000,-79.061562498473336
-9321289.062500,-79.040319086010683
-9316406.250000,-79.045056201334233
-9311523.437500,-79.086074769703743
-9306640.625000,-79.072559712698791
-9301757.812500,-78.964907483754303
-9296875.000000,-78.964353926647249
-9291992.187500,-78.978594866731996
-9287109.375000,-79.065099636536431
-9282226.562500,-79.119103653838891
-9277343.750000,-79.035636396274668
-9272460.937500,-78.969976545159071
-9267578.125000,-79.017799730146280
-9262695.312500,-79.118690681965788
-9257812.500000,-79.147439353167812
-9252929.687500,-79.071682968201230
-9248046.875000,-79.060317922766302
-9243164.062500,-79.028285345944980
-9238281.250000,-79.040597690162983
-9233398.437500,-79.034691300504818
-9228515.625000,-78.997413973175966
-9223632.812500,-78.957496186698833
-9218750.000000,-79.061710826700590
-9213867.187500,-79.111457911935133
-9208984.375000,-79.085395258911475
-9204101.562500,-79.093782720079759
-9199218.750000,-79.046736057144912
-9194335.937500,-79.047003125058254
-9189453.125000,-79.035908633318257
-9184570.312500,-79.045354293455574
-9179687.500000,-79.074265802474343
-9174804.687500,-79.097139639712566
-9169921.875000,-78.956853662219288
-9165039.062500,-79.007869816460229
-9160156.250000,-79.111894183999297
-9155273.437500,-78.988097771139664
-9150390.625000,-78.945314504182917
-9145507.812500,-79.002243130438487
-9140625.000000,-78.985038208334032
-9135742.187500,-79.039997045742197
-9130859.375000,-79.016836247454549
-9125976.562500,-79.023032178343740
-9121093.750000,-79.059224744912868
-9116210.937500,-79.053910726358566
-9111328.125000,-79.100421514312899
-9106445.312500,-79.084417583944514
-9101562.500000,-79.077735653953198
-9096679.687500,-79.062524832656592
-9091796.875000,-79.037791002776004
-9086914.062500,-79.016966220084910
-9082031.250000,-79.043772729220194
-9077148.437500,-78.984310539444294
-9072265.625000,-79.017068829287325
-9067382.812500,-78.971256200688600
-9062500.000000,-78.960169806739117
-9057617.187500,-79.022946827612842
-9052734.375000,-79.089583696163245
-9047851.562500,-79.101176284014130
-9042968.750000,-79.035091394618135
-9038085.937500,-79.067992030216459
-9033203.125000,-79.063454417823792
-9028320.312500,-79.028891364826293
-9023437.500000,-79.081160347148469
-9018554.687500,-79.031034196317350
-9013671.875000,-78.989021580961037
-9008789.062500,-79.054145400432205
-9003906.250000,-79.021797621970322
-8999023.437500,-79.035753094688062
-8994140.625000,-79.102567870455033
-8989257.812500,-79.034859668696754
-8984375.000000,-79.029539632560343
-8979492.187500,-78.983559494377175
-8974609.375000,-78.984191795224149
-8969726.562500,-79.017531650595373
-8964843.750000,-79.011572760672678
-8959960.937500,-79.052240882059806
-8955078.125000,-79.007854613238521
-8950195.312500,-79.071656909502892
-8945312.500000,-79.067670372730362
-8940429.687500,-79.103916586418990
-8935546.875000,-79.149351958028632
-8930664.062500,-79.089354820108781
-8925781.250000,-79.042266256704153
-8920898.437500,-78.973129500943685
-8916015.625000,-78.979036961395721
-8911132.812500,-78.922312151389804
-8906250.000000,-79.017472925509935
-8901367.187500,-79.077843379607828
-8896484.375000,-79.049705297952187
-8891601.562500,-78.985775162507622
-8886718.750000,-79.067881409820345
-8881835.937500,-79.068449254364765
-8876953.125000,-79.026145313200502
-8872070.312500,-79.031161105384484
-8867187.500000,-79.060010140358457
-8862304.687500,-79.038504354775554
-8857421.875000,-79.038514065125810
-8852539.062500,-79.021793390204820
-8847656.250000,-78.953362500123447
-8842773.437500,-78.965943570523109
-8837890.625000,-79.026728948798706
-8833007.812500,-79.059026268040100
-8828125.000000,-79.010996268457916
-8823242.187500,-79.003298787535982
-8818359.375000,-79.049867970317976
-8813476.562500,-79.071074174635612
-8808593.750000,-79.096820190261141
-8803710.937500,-79.096176927559640
-8798828.125000,-78.994232430188887
-8793945.312500,-79.032573017770801
-8789062.500000,-79.005784328921948
-8784179.687500,-78.981396244953203
-8779296.875000,-79.004316877421630
-8774414.062500,-79.015622468673442
-8769531.250000,-78.989211409090899
-8764648.437500,-79.042763048660788
-8759765.625000,-79.068803661729035
-8754882.812500,-79.037752519927395
-8750000.000000,-79.060258724604822
-8745117.187500,-78.998235108200220
-8740234.375000,-78.990849410061173
-8735351.562500,-78.964823781257664
-8730468.750000,-79.080565183433094
-8725585.937500,-79.031224931941125
-8720703.125000,-78.995894646370516
-8715820.312500,-79.113815311313061
-8710937.500000,-79.085880509452991
-8706054.687500,-78.986684070494974
-8701171.875000,-78.933572819545276
-8696289.062500,-78.978076092119750
-8691406.250000,-78.988704027175615
-8686523.437500,-78.960977266470451
-8681640.625000,-78.988923705997621
-8676757.812500,-79.061098116683894
-8671875.000000,-79.107027348284845
-8666992.187500,-79.072434264342647
-8662109.375000,-79.030668122538657
-8657226.562500,-79.031984370269228
-8652343.750000,-79.023939693253823
-8647460.937500,-78.976314789571504
-8642578.125000,-79.022558773082949
-8637695.312500,-79.080557970595009
-8632812.500000,-79.044841631761955
-8627929.687500,-79.073552621096127
-8623046.875000,-78.952208353007947
-8618164.062500,-78.959978865595758
-8613281.250000,-79.027895169821477
-8608398.437500,-79.027124870436623
-8603515.625000,-79.075401343418861
-8598632.812500,-79.033475444385246
-8593750.000000,-78.983057412450435
-8588867.187500,-78.959550244686781
-8583984.375000,-78.962424967521343
-8579101.562500,-78.920398579195435
-8574218.750000,-79.035534963893724
-8569335.937500,-79.050172617552107
-8564453.125000,-78.992247768580938
-8559570.312500,-78.978961225614810
-8554687.500000,-79.048876056369139
-8549804.687500,-79.038104289784528
-8544921.875000,-79.043603896848978
-8540039.062500,-79.069493206430266
-8535156.250000,-79.092473705268489
-8530273.437500,-79.024402570471523
-8525390.625000,-78.985556895906086
-8520507.812500,-78.998784526508615
-8515625.000000,-79.006807956279189
-8510742.187500,-79.032725316437848
-8505859.375000,-78.935109674357747
-8500976.562500,-78.694971498311261
-8496093.750000,-78.963344161751124
-8491210.937500,-79.011540987891266
-8486328.125000,-78.980831604159292
-8481445.312500,-79.032030219462655
-8476562.500000,-79.043477060465705
-8471679.687500,-79.022100478266751
-8466796.875000,-79.098836290626224
-8461914.062500,-79.059652963735829
-8457031.250000,-79.081819417826907
-8452148.437500,-79.122899034958408
-8447265.625000,-79.110359371036026
-8442382.812500,-79.094041821746913
-8437500.000000,-79.014975736618240
-8432617.187500,-79.068461322554995
-8427734.375000,-79.055218633556706
-8422851.562500,-79.057197613773425
-8417968.750000,-79.053998504321399
-8413085.937500,-78.981346202088332
-8408203.125000,-79.054680634746660
-8403320.312500,-79.038438093728502
-8398437.500000,-79.022100112640445
-8393554.687500,-79.043839283435403
-8388671.875000,-79.021324355755880
-8383789.062500,-78.990451732189868
-8378906.250000,-79.028016928828293
-8374023.437500,-78.989654888375270
-8369140.625000,-79.004080614621813
-8364257.812500,-78.955379391343968
-8359375.000000,-78.906362373427910
