Freq_Hz,N9000B_dBm
170003906.63150698,-97.44034868778174
170013673.2102744,-96.26758598749048
170023439.7890419,-95.91957372199451
170033206.36780936,-96.46309896186958
170042972.9465768,-94.53587305675839
170052739.52534428,-95.93147849881564
170062506.10411173,-96.58757193279772
170072272.68287915,-97.15167749099884
170082039.26164666,-95.47815800407031
170091805.8404141,-96.34965783767865
170101572.41918153,-95.88620836564462
170111338.99794903,-94.54853632085026
170121105.57671648,-97.4842852790853
170130872.15548393,-96.0346888569243
170140638.73425138,-95.49093252453709
170150405.31301886,-95.78219314349428
170160171.89178628,-96.48859316228028
170169938.47055373,-95.95259563606842
170179705.04932123,-95.71546360459415
170189471.62808868,-96.72812866331117
170199238.2068561,-97.26443813410233
170209004.7856236,-95.78399761168298
170218771.36439103,-96.79923141753578
170228537.94315848,-97.17087299686835
170238304.521926,-95.93870870139625
170248071.1006934,-96.72490104868686
170257837.67946085,-95.79818300399359
170267604.25822833,-95.96596582876982
170277370.8369958,-95.78104187965911
170287137.41576323,-96.03981446347306
170296903.9945307,-95.1404177568186
170306670.57329816,-97.43284948463983
170316437.1520656,-95.00105555080319
170326203.73083308,-95.63346777320761
170335970.30960053,-96.40845078330008
170345736.88836798,-95.76490641906524
170355503.46713546,-95.35936173854145
170365270.0459029,-96.11312741573137
170375036.62467036,-95.71442418103756
170384803.20343783,-94.44171888267991
170394569.78220528,-96.3328127723443
170404336.36097273,-95.38735691113371
170414102.9397402,-95.34269946292723
170423869.51850766,-95.51666212261549
170433636.0972751,-94.93169036543813
170443402.6760426,-95.20666170422759
170453169.25481004,-96.28483808279405
170462935.83357748,-96.24905082039123
170472702.41234496,-95.26256897713317
170482468.9911124,-96.93090533390986
170492235.56987986,-96.41241250980943
170502002.14864734,-96.72497390817087
170511768.7274148,-95.1979394304307
170521535.3061822,-95.04825654446572
170531301.8849497,-95.97924409991796
170541068.46371716,-94.84730862453368
170550835.0424846,-96.15769960296345
170560601.62125206,-94.45476101273846
170570368.20001954,-96.59404971010304
170580134.77878696,-96.29947571817038
170589901.35755444,-95.47302652403543
170599667.9363219,-96.39836169207668
170609434.51508936,-96.25181762729099
170619201.0938568,-96.39039977681554
170628967.6726243,-95.49696118470075
170638734.2513917,-96.30674782670049
170648500.8301592,-96.41457114503659
170658267.40892667,-95.43235940521424
170668033.98769408,-95.44746125195917
170677800.56646156,-96.26751663347208
170687567.14522904,-95.78963299676589
170697333.7239965,-94.98163891146376
170707100.30276394,-96.99466859283734
170716866.8815314,-95.30549900401192
170726633.46029884,-95.79512437240308
170736400.0390663,-95.77985171453491
170746166.61783376,-94.70276923316018
170755933.1966012,-96.44977430839873
170765699.7753687,-96.63839047968791
170775466.35413614,-95.95666571997981
170785232.9329036,-95.95362972289479
170794999.51167107,-95.7141337425321
170804766.09043851,-95.33208959837717
170814532.66920596,-96.03770637490547
170824299.24797344,-94.54427811947026
170834065.8267409,-96.17228384530657
170843832.40550834,-93.30886476252337
170853598.98427582,-94.6671017335715
170863365.56304327,-95.74820279846493
170873132.14181072,-95.99082447392293
170882898.7205782,-95.30239447508862
170892665.29934564,-95.73527709513723
170902431.8781131,-95.15949253303515
170912198.45688057,-95.35985635709903
170921965.03564802,-95.2470783323105
170931731.61441547,-95.39303721021356
170941498.1931829,-95.43152789200016
170951264.7719504,-95.77732128627552
170961031.35071784,-96.87791676580426
170970797.9294853,-96.24781190004893
170980564.50825277,-95.58016299160406
170990331.08702022,-94.29818164467159
171000097.66578764,-95.29541941619212
171009864.24455515,-94.56132883475995
171019630.8233226,-95.47419236236257
171029397.40209004,-96.47063482298074
171039163.98085752,-95.19827087802261
171048930.55962497,-95.60154009259489
171058697.1383924,-94.84576877611944
171068463.71715987,-96.44576022983897
171078230.29592735,-94.70405336850219
171087996.87469476,-94.75028203879862
171097763.4534622,-94.9938049628299
171107530.03222972,-95.79585699671561
171117296.61099717,-95.65406096129172
171127063.1897646,-95.50909922460113
171136829.7685321,-94.88448913291776
171146596.34729952,-96.26157975340213
171156362.92606696,-95.73591782726359
171166129.50483444,-93.96198049216744
171175896.08360192,-94.44061883558524
171185662.66236934,-95.64355813147924
