Freq_Hz,N9000B_dBm
8.800000000000000000e+07,-8.917678401400002031e+01
8.801955034213098884e+07,-8.699641130599999883e+01
8.803910068426197767e+07,-8.926352983799998242e+01
8.805865102639296651e+07,-8.908914917199997774e+01
8.807820136852395535e+07,-8.743958125400000370e+01
8.809775171065492928e+07,-8.945813319799997032e+01
8.811730205278591812e+07,-8.989201995399999134e+01
8.813685239491690695e+07,-8.919516833000000133e+01
8.815640273704789579e+07,-8.843901528400000700e+01
8.817595307917888463e+07,-8.919162279200000398e+01
8.819550342130987346e+07,-8.832519391999997538e+01
8.821505376344086230e+07,-8.966843510199998946e+01
8.823460410557185113e+07,-9.102937168400001156e+01
8.825415444770283997e+07,-8.772218789399998684e+01
8.827370478983382881e+07,-8.848376290400000244e+01
8.829325513196480274e+07,-8.807082763799996883e+01
8.831280547409579158e+07,-8.854417001200002346e+01
8.833235581622678041e+07,-8.723233917600002485e+01
8.835190615835776925e+07,-8.706794656399998189e+01
8.837145650048875809e+07,-8.769867148199998041e+01
8.839100684261974692e+07,-8.973373778999999217e+01
8.841055718475073576e+07,-8.935573904800003220e+01
8.843010752688172460e+07,-8.938519374200002687e+01
8.844965786901271343e+07,-8.866183576199998129e+01
8.846920821114370227e+07,-8.932882363400001680e+01
8.848875855327467620e+07,-8.725790797799999154e+01
8.850830889540566504e+07,-9.011891606399998977e+01
8.852785923753665388e+07,-8.974155787799999473e+01
8.854740957966764271e+07,-8.691086478200000442e+01
8.856695992179863155e+07,-9.046147591600001192e+01
8.858651026392962039e+07,-8.649459877999997559e+01
8.860606060606060922e+07,-8.608292401600002108e+01
8.862561094819159806e+07,-8.883334363800001654e+01
8.864516129032258689e+07,-9.006892067999997664e+01
8.866471163245356083e+07,-8.802463073599999177e+01
8.868426197458454967e+07,-8.778382773400002748e+01
8.870381231671553850e+07,-9.208378745200000992e+01
8.872336265884652734e+07,-8.799688882000002366e+01
8.874291300097751617e+07,-8.917968100600000980e+01
8.876246334310850501e+07,-8.721466273599999397e+01
8.878201368523949385e+07,-8.882641710200002194e+01
8.880156402737048268e+07,-8.782785033999998348e+01
8.882111436950147152e+07,-8.926628235000001155e+01
8.884066471163246036e+07,-8.996734985599997003e+01
8.886021505376343429e+07,-8.789209529400001486e+01
8.887976539589442313e+07,-8.529442714200001774e+01
8.889931573802541196e+07,-8.890668675000000576e+01
8.891886608015640080e+07,-8.957156890400001714e+01
8.893841642228738964e+07,-8.876579546200001403e+01
8.895796676441837847e+07,-8.940053697399999066e+01
8.897751710654936731e+07,-8.757611106000000234e+01
8.899706744868035614e+07,-8.987240714200000014e+01
