# Timestamp: 20251217_153912
# Config: {'ip': '192.168.46.113', 'ruta_salida': '/home/gcpds/Desktop/Procesamiento_ANE2/ANE2_procesamiento/extraccion', 'frecuencia_central_hz': 98000000, 'span_hz': 20000000, 'puntos': 4096}
Frecuencia_Hz,Amplitud_dBm
88000000.00,-92.865974
88004884.00,-93.945722
88009768.01,-93.431857
88014652.01,-93.721479
88019536.02,-93.010285
88024420.02,-93.288577
88029304.03,-93.081890
88034188.03,-93.654943
88039072.04,-93.449535
88043956.04,-93.836232
88048840.05,-93.652549
88053724.05,-94.119119
88058608.06,-93.724590
88063492.06,-94.039778
88068376.07,-93.639589
88073260.07,-94.083112
88078144.08,-93.476777
88083028.08,-93.945105
88087912.09,-93.515647
88092796.09,-93.731294
88097680.10,-92.955127
88102564.10,-93.126208
88107448.11,-92.649297
88112332.11,-92.968392
88117216.12,-92.847489
88122100.12,-93.414329
88126984.13,-93.371542
88131868.13,-93.930237
88136752.14,-93.163318
88141636.14,-93.254334
88146520.15,-92.811937
88151404.15,-93.345943
88156288.16,-93.083032
88161172.16,-93.602812
88166056.17,-93.197139
88170940.17,-93.795099
88175824.18,-93.390100
88180708.18,-94.010947
88185592.19,-93.781157
88190476.19,-94.188632
88195360.20,-93.836913
88200244.20,-94.203879
88205128.21,-93.374932
88210012.21,-93.615005
88214896.21,-93.243654
88219780.22,-93.586803
88224664.22,-93.333481
88229548.23,-93.820167
88234432.23,-93.675075
88239316.24,-94.247401
88244200.24,-93.892565
88249084.25,-94.389490
88253968.25,-94.053862
88258852.26,-94.442893
88263736.26,-93.676089
88268620.27,-93.909405
88273504.27,-93.677777
88278388.28,-94.208873
88283272.28,-93.723137
88288156.29,-94.088483
88293040.29,-93.774860
88297924.30,-94.269102
88302808.30,-93.755816
88307692.31,-93.968809
88312576.31,-93.800828
88317460.32,-94.245466
88322344.32,-94.020585
88327228.33,-94.564172
88332112.33,-93.890716
88336996.34,-94.024958
88341880.34,-93.677158
88346764.35,-93.750113
88351648.35,-92.965930
88356532.36,-93.291609
88361416.36,-92.925152
88366300.37,-93.397131
88371184.37,-93.142507
88376068.38,-93.663350
88380952.38,-93.624153
88385836.39,-94.236089
88390720.39,-93.619615
88395604.40,-94.158138
88400488.40,-93.781380
88405372.41,-94.363602
88410256.41,-93.842873
88415140.42,-94.299365
88420024.42,-93.617825
88424908.42,-93.959277
88429792.43,-93.560449
88434676.43,-93.795132
88439560.44,-93.361672
88444444.44,-93.866326
88449328.45,-93.457703
88454212.45,-94.052546
88459096.46,-93.441909
88463980.46,-93.611151
88468864.47,-93.030492
88473748.47,-93.358488
88478632.48,-93.070065
88483516.48,-93.740849
88488400.49,-93.348758
88493284.49,-93.644552
88498168.50,-93.220876
88503052.50,-93.417509
88507936.51,-93.285017
88512820.51,-93.734244
88517704.52,-93.296357
88522588.52,-93.551222
88527472.53,-93.140280
88532356.53,-93.265031
88537240.54,-93.093841
88542124.54,-93.569170
88547008.55,-93.332656
88551892.55,-93.858794
88556776.56,-93.328954
88561660.56,-93.589795
88566544.57,-93.058756
88571428.57,-93.426423
88576312.58,-93.536362
88581196.58,-94.124248
88586080.59,-93.618681
88590964.59,-93.900820
88595848.60,-93.147513
88600732.60,-93.440222
88605616.61,-93.038075
88610500.61,-93.265075
88615384.62,-92.563541
88620268.62,-92.895819
88625152.63,-92.658795
88630036.63,-93.033762
88634920.63,-92.630479
88639804.64,-93.115020
88644688.64,-93.078483
88649572.65,-93.663861
88654456.65,-93.456250
88659340.66,-94.270851
88664224.66,-93.960036
88669108.67,-94.418948
88673992.67,-94.025297
88678876.68,-94.478933
88683760.68,-94.178105
88688644.69,-94.829146
88693528.69,-94.150726
88698412.70,-94.428827
88703296.70,-93.674901
88708180.71,-93.795750
88713064.71,-93.032196
88717948.72,-93.208565
88722832.72,-93.102575
88727716.73,-93.588142
88732600.73,-92.960331
88737484.74,-93.135553
88742368.74,-92.479932
88747252.75,-92.761095
88752136.75,-92.634331
88757020.76,-93.087804
88761904.76,-93.014931
88766788.77,-93.776449
88771672.77,-93.800165
88776556.78,-94.267635
88781440.78,-93.858890
88786324.79,-93.921118
